Sweep	g
534	219.013
535	219.013
536	121.767
537	121.767
538	118.003
539	118.003
540	127.107
541	425.799
542	425.799
543	425.799
544	425.799
545	415.248
546	169.258
547	169.258
548	169.258
549	169.258
550	169.258
551	169.258
552	169.258
553	169.258
554	262.298
555	332.746
556	332.746
557	332.746
558	320.769
559	440.663
560	280.924
561	220.976
562	194.85
563	194.85
564	194.85
565	164.546
566	164.546
567	223.732
568	211.82
569	211.82
570	211.82
571	172.177
572	172.177
573	172.177
574	287.788
575	126.09
576	357.278
577	325.388
578	334.898
579	334.898
580	334.898
581	226.225
582	226.225
583	226.225
584	327.222
585	190.448
586	232.481
587	232.481
588	232.481
589	151.995
590	183.666
591	183.666
592	613.836
593	227.018
594	210.428
595	195.059
596	195.059
597	181.293
598	209.776
599	209.776
600	300.423
601	300.423
602	300.423
603	300.423
604	300.423
605	140.897
606	116.882
607	116.882
608	366.955
609	201.448
610	226.505
611	239.701
612	185.543
613	177.908
614	228.192
615	272.514
616	295.681
617	295.681
618	133.304
619	133.304
620	133.304
621	719.967
622	719.967
623	417.342
624	417.342
625	249.546
626	386.23
627	376.87
628	376.87
629	376.87
630	376.87
631	376.87
632	376.87
633	376.87
634	376.87
635	376.87
636	165.631
637	165.631
638	165.631
639	257.115
640	257.115
641	257.115
642	257.115
643	257.115
644	257.115
645	257.115
646	257.115
647	257.115
648	257.115
649	242.31
650	333.861
651	120.897
652	634.735
653	303.863
654	303.863
655	401.439
656	117.814
657	117.814
658	213.879
659	213.879
660	470.407
661	319.988
662	313.835
663	313.835
664	313.835
665	244.837
666	244.837
667	244.837
668	244.837
669	244.837
670	244.837
671	225.097
672	225.097
673	217.027
674	217.027
675	217.027
676	243.98
677	243.98
678	243.98
679	243.98
680	141.334
681	568.293
682	574.279
683	505.519
684	505.519
685	292.133
686	292.133
687	410.382
688	327.891
689	327.891
690	136.538
691	136.538
692	441.165
693	309.051
694	309.051
695	817.176
696	817.176
697	817.176
698	517.015
699	517.015
700	358.53
701	208.992
702	208.992
703	208.992
704	221.108
705	221.108
706	221.108
707	221.108
708	221.108
709	221.108
710	221.108
711	601.298
712	741.833
713	855.702
714	236.249
715	200.54
716	217.188
717	217.188
718	231.612
719	231.612
720	456.505
721	143.294
722	143.294
723	241.48
724	241.48
725	241.48
726	484.3
727	484.3
728	484.3
729	484.3
730	419.624
731	419.624
732	419.624
733	419.624
734	465.832
735	465.832
736	465.832
737	294.266
738	279.496
739	279.496
740	279.496
741	279.496
742	236.105
743	236.105
744	236.105
745	236.105
746	236.105
747	236.105
748	170.697
749	170.697
750	190.75
751	245.036
752	245.036
753	245.036
754	169.827
755	117.122
756	276.766
757	276.766
758	276.766
759	276.766
760	353.811
761	398.231
762	255.724
763	330.102
764	361.807
765	264.972
766	264.972
767	322.537
768	322.537
769	234.233
770	287.086
771	287.086
772	397.537
773	397.537
774	397.537
775	397.537
776	397.537
777	397.537
778	397.537
779	397.537
780	397.537
781	142.948
782	142.948
783	277.105
784	277.105
785	311.402
786	311.402
787	311.402
788	311.402
789	317.892
790	317.892
791	317.892
792	546.458
793	546.458
794	546.458
795	546.458
796	317.957
797	317.957
798	586.403
799	663.445
800	663.445
801	663.445
802	663.445
803	172.853
804	129.715
805	129.715
806	129.715
807	129.715
808	406.447
809	406.447
810	166.082
811	308.626
812	354.533
813	354.533
814	867.516
815	555.251
816	276.881
817	276.881
818	276.881
819	233.661
820	159.982
821	239.81
822	239.81
823	239.81
824	210.89
825	177.929
826	389.742
827	389.742
828	389.742
829	389.742
830	389.742
831	389.742
832	222.619
833	222.619
834	222.619
835	222.619
836	742.832
837	742.832
838	742.832
839	686.937
840	829.896
841	829.896
842	829.896
843	533.975
844	533.975
845	705.123
846	705.123
847	705.123
848	125.811
849	479.155
850	373.636
851	373.636
852	373.636
853	373.636
854	373.636
855	156.543
856	156.543
857	402.708
858	402.708
859	402.708
860	402.708
861	259.85
862	259.85
863	259.85
864	259.85
865	231.401
866	231.401
867	231.616
868	130.321
869	130.321
870	409.48
871	409.48
872	409.48
873	351.286
874	351.286
875	351.286
876	150.516
877	150.516
878	150.516
879	190.427
880	190.427
881	164.314
882	164.314
883	129.033
884	159.185
885	159.185
886	159.185
887	159.185
888	562.703
889	128.119
890	128.119
891	128.119
892	128.119
893	128.119
894	128.119
895	298.333
896	298.333
897	298.333
898	298.333
899	178.041
900	178.041
901	178.041
902	330.174
903	438.298
904	438.298
905	438.298
906	438.298
907	438.298
908	269.987
909	209.408
910	193.062
911	193.062
912	193.062
913	193.062
914	166.713
915	166.713
916	166.713
917	166.713
918	159.425
919	174.746
920	174.746
921	174.746
922	174.746
923	174.746
924	174.746
925	174.746
926	174.746
927	222.23
928	222.23
929	332.938
930	502.343
931	502.343
932	502.343
933	502.343
934	115.132
935	115.132
936	115.132
937	150.973
938	150.973
939	150.973
940	508.358
941	749.652
942	749.652
943	749.652
944	749.652
945	516.898
946	516.898
947	221.913
948	332.344
949	309.762
950	150.171
951	150.171
952	224.9
953	224.9
954	224.9
955	170.372
956	170.372
957	178.489
958	200.504
959	200.504
960	200.504
961	200.504
962	495.743
963	495.743
964	495.743
965	555.343
966	479.682
967	479.682
968	479.682
969	695.979
970	693.037
971	693.037
972	693.037
973	618.357
974	245.925
975	304.931
976	304.931
977	244.762
978	194.679
979	322.022
980	322.022
981	322.022
982	322.022
983	322.022
984	353.884
985	353.884
986	353.884
987	353.884
988	330.944
989	330.944
990	374.239
991	374.239
992	374.239
993	374.239
994	268.833
995	268.833
996	268.833
997	228.802
998	228.802
999	228.802
1000	266.351
1001	238.351
1002	238.351
1003	238.351
1004	238.351
1005	238.351
1006	238.351
1007	238.351
1008	238.351
1009	421.643
1010	254.716
1011	221.674
1012	477.5
1013	477.5
1014	210.307
1015	210.307
1016	383.159
1017	152.016
1018	781.518
1019	98.7544
1020	98.7544
1021	369.771
1022	171.782
1023	171.782
1024	423.899
1025	423.899
1026	423.899
1027	167.877
1028	167.877
1029	167.877
1030	203.711
1031	203.711
1032	129.015
1033	120.685
1034	140.781
1035	140.781
1036	140.781
1037	140.781
1038	140.781
1039	140.781
1040	287.502
1041	513.906
1042	233.717
1043	233.717
1044	233.717
1045	233.717
1046	201.523
1047	201.523
1048	207.135
1049	207.135
1050	207.135
1051	207.135
1052	405.045
1053	405.045
1054	405.045
1055	568.352
1056	568.352
1057	197.369
1058	197.369
1059	156.242
1060	156.242
1061	156.242
