Sweep	Acceptance_rate	log_proposal_std
25100	0.4	0.0277259
25200	0.54	0.0554518
25300	0.34	0.0277259
25400	0.48	0.0554518
25500	0.5	0.0831777
25600	0.46	0.110904
25700	0.34	0.0831777
25800	0.38	0.0554518
25900	0.45	0.0831777
26000	0.42	0.0554518
26100	0.4	0.0277259
26200	0.53	0.0554518
26300	0.52	0.0831777
26400	0.51	0.110904
26500	0.4	0.0831777
26600	0.38	0.0554518
26700	0.4	0.0277259
26800	0.43	1.38778e-17
26900	0.42	-0.0277259
27000	0.42	-0.0554518
27100	0.47	-0.0277259
27200	0.4	-0.0554518
27300	0.46	-0.0277259
27400	0.56	1.38778e-17
27500	0.48	0.0277259
27600	0.39	1.38778e-17
27700	0.47	0.0277259
27800	0.52	0.0554518
27900	0.44	0.0831777
28000	0.49	0.110904
28100	0.49	0.138629
28200	0.42	0.110904
28300	0.49	0.138629
28400	0.5	0.166355
28500	0.39	0.138629
28600	0.44	0.166355
28700	0.46	0.194081
28800	0.33	0.166355
28900	0.44	0.194081
29000	0.42	0.166355
29100	0.41	0.138629
29200	0.41	0.110904
29300	0.46	0.138629
29400	0.4	0.110904
29500	0.38	0.0831777
29600	0.42	0.0554518
29700	0.49	0.0831777
29800	0.49	0.110904
29900	0.44	0.138629
30000	0.44	0.166355
30100	0.49	0.194081
30200	0.32	0.166355
30300	0.51	0.194081
30400	0.43	0.166355
30500	0.41	0.138629
30600	0.47	0.166355
30700	0.4	0.138629
30800	0.49	0.166355
30900	0.47	0.194081
31000	0.4	0.166355
31100	0.38	0.138629
31200	0.54	0.166355
31300	0.52	0.194081
31400	0.48	0.221807
31500	0.43	0.194081
31600	0.35	0.166355
31700	0.41	0.138629
31800	0.4	0.110904
31900	0.45	0.138629
32000	0.39	0.110904
32100	0.42	0.0831777
32200	0.51	0.110904
32300	0.45	0.138629
32400	0.39	0.110904
32500	0.33	0.0831777
32600	0.45	0.110904
32700	0.4	0.0831777
32800	0.43	0.0554518
32900	0.5	0.0831777
33000	0.33	0.0554518
33100	0.53	0.0831777
33200	0.4	0.0554518
33300	0.51	0.0831777
33400	0.42	0.0554518
33500	0.37	0.0277259
33600	0.48	0.0554518
33700	0.41	0.0277259
33800	0.45	0.0554518
33900	0.48	0.0831777
34000	0.49	0.110904
34100	0.45	0.138629
34200	0.41	0.110904
34300	0.49	0.138629
34400	0.48	0.166355
34500	0.42	0.138629
34600	0.41	0.110904
34700	0.48	0.138629
34800	0.36	0.110904
34900	0.41	0.0831777
35000	0.51	0.110904
35100	0.51	0.138629
35200	0.46	0.166355
35300	0.44	0.194081
35400	0.44	0.221807
35500	0.4	0.194081
35600	0.37	0.166355
35700	0.35	0.138629
35800	0.51	0.166355
35900	0.38	0.138629
36000	0.44	0.166355
36100	0.37	0.138629
36200	0.4	0.110904
36300	0.43	0.0831777
36400	0.42	0.0554518
36500	0.48	0.0831777
36600	0.34	0.0554518
36700	0.48	0.0831777
36800	0.39	0.0554518
36900	0.49	0.0831777
37000	0.34	0.0554518
37100	0.54	0.0831777
37200	0.43	0.0554518
37300	0.43	0.0277259
37400	0.44	0.0554518
37500	0.46	0.0831777
37600	0.52	0.110904
37700	0.47	0.138629
37800	0.41	0.110904
37900	0.45	0.138629
38000	0.45	0.166355
38100	0.43	0.138629
38200	0.49	0.166355
38300	0.4	0.138629
38400	0.41	0.110904
38500	0.41	0.0831777
38600	0.38	0.0554518
38700	0.38	0.0277259
38800	0.39	1.38778e-17
38900	0.54	0.0277259
39000	0.47	0.0554518
39100	0.31	0.0277259
39200	0.5	0.0554518
39300	0.47	0.0831777
39400	0.36	0.0554518
39500	0.41	0.0277259
39600	0.4	1.38778e-17
39700	0.56	0.0277259
39800	0.44	0.0554518
39900	0.37	0.0277259
40000	0.44	0.0554518
40100	0.46	0.0831777
40200	0.43	0.0554518
40300	0.5	0.0831777
40400	0.44	0.110904
40500	0.39	0.0831777
40600	0.37	0.0554518
40700	0.48	0.0831777
40800	0.38	0.0554518
40900	0.36	0.0277259
41000	0.46	0.0554518
41100	0.41	0.0277259
41200	0.57	0.0554518
41300	0.45	0.0831777
41400	0.36	0.0554518
41500	0.4	0.0277259
41600	0.41	1.38778e-17
41700	0.48	0.0277259
41800	0.48	0.0554518
41900	0.44	0.0831777
42000	0.46	0.110904
42100	0.49	0.138629
42200	0.43	0.110904
42300	0.39	0.0831777
42400	0.43	0.0554518
42500	0.53	0.0831777
42600	0.43	0.0554518
42700	0.49	0.0831777
42800	0.4	0.0554518
42900	0.5	0.0831777
43000	0.4	0.0554518
43100	0.49	0.0831777
43200	0.43	0.0554518
43300	0.39	0.0277259
43400	0.51	0.0554518
43500	0.45	0.0831777
43600	0.39	0.0554518
43700	0.4	0.0277259
43800	0.44	0.0554518
43900	0.33	0.0277259
44000	0.44	0.0554518
44100	0.41	0.0277259
44200	0.48	0.0554518
44300	0.45	0.0831777
44400	0.49	0.110904
44500	0.49	0.138629
44600	0.4	0.110904
44700	0.43	0.0831777
44800	0.55	0.110904
44900	0.52	0.138629
45000	0.46	0.166355
45100	0.4	0.138629
45200	0.37	0.110904
45300	0.39	0.0831777
45400	0.48	0.110904
45500	0.42	0.0831777
45600	0.36	0.0554518
45700	0.44	0.0831777
45800	0.47	0.110904
45900	0.42	0.0831777
46000	0.43	0.0554518
46100	0.51	0.0831777
46200	0.52	0.110904
46300	0.45	0.138629
46400	0.44	0.166355
46500	0.42	0.138629
46600	0.42	0.110904
46700	0.46	0.138629
46800	0.37	0.110904
46900	0.45	0.138629
47000	0.4	0.110904
47100	0.47	0.138629
47200	0.47	0.166355
47300	0.52	0.194081
47400	0.37	0.166355
47500	0.39	0.138629
47600	0.33	0.110904
47700	0.43	0.0831777
47800	0.42	0.0554518
47900	0.56	0.0831777
48000	0.52	0.110904
48100	0.51	0.138629
48200	0.33	0.110904
48300	0.42	0.0831777
48400	0.5	0.110904
48500	0.44	0.138629
48600	0.32	0.110904
48700	0.47	0.138629
48800	0.55	0.166355
