Rank	#Visits	Model_size	log_Post_Prob	Model_Post_Prob	Jeffreys_scale	Model
1	31725	2	-3520.197185009961	0.6560541876990575	46.75252656893986	4	15	
2	2557	3	-3522.786919522007	0.04923027977075946	46.36001908238594	4	11	15	
3	2422	3	-3522.828936604053	0.04720462120290345	46.3417712955076	2	4	15	
4	1901	3	-3523.064605448625	0.03729364549484761	46.23942161675345	4	6	15	
5	1512	3	-3523.294871835686	0.02962316222724105	46.13941819548527	4	7	15	
6	1312	3	-3523.45369302433	0.0252729682106794	46.07044302964758	4	14	15	
7	759	3	-3524.021750632812	0.01432029505731664	45.82373874488092	4	15	17	
8	653	3	-3524.21523436432	0.01180111518692995	45.73970982794877	4	15	16	
9	536	3	-3524.287237577272	0.01098126700412924	45.70843922988458	4	5	15	
10	445	3	-3524.420432621331	0.009611841013911283	45.65059335723271	4	8	15	
11	462	3	-3524.452870283079	0.009305057928644297	45.63650585972982	4	12	15	
12	472	3	-3524.555107548183	0.00840074884852869	45.59210477965022	4	9	15	
13	407	3	-3524.621489966185	0.007861193443482992	45.56327526181659	4	13	15	
14	386	3	-3524.631986452519	0.007779110081019319	45.55871669572257	1	4	15	
15	397	3	-3524.707638106116	0.007212317242926987	45.52586160001849	4	10	15	
16	388	3	-3524.711299495985	0.007185958422043617	45.524271478602	3	4	15	
17	172	3	-3525.241820501978	0.004227487718811328	45.29386913316557	2	5	15	
18	131	2	-3525.504575304395	0.003250643882133768	44.44755625076036	4	13	
19	143	4	-3525.846103292661	0.002310179220213149	45.68765047557785	2	4	11	15	
20	106	4	-3525.875529420929	0.002243190040004245	45.67487087044752	1	2	4	15	
21	108	4	-3526.30198896219	0.001464390970888339	45.48966184492287	4	6	11	15	
22	90	4	-3526.461643173609	0.001248303244847455	45.42032490189103	4	7	11	15	
23	60	4	-3526.644877901441	0.001039303208989313	45.34074707070041	2	4	6	15	
24	45	4	-3526.764719081034	0.0009219256649809182	45.28870070769835	4	8	11	15	
25	53	4	-3526.818684877198	0.0008734918510716282	45.26526366021261	2	4	7	15	
26	84	4	-3526.826674698976	0.0008665406134112181	45.26179372470315	2	3	4	15	
27	49	4	-3526.842280893229	0.0008531221898734246	45.25501604065575	2	4	14	15	
28	41	4	-3526.898855694154	0.0008061968823002296	45.23044591679911	4	11	14	15	
29	41	4	-3526.907432116831	0.0007993121624111224	45.22672122375606	4	6	9	15	
30	39	4	-3526.909960030809	0.0007972941218140355	45.22562336466461	4	5	11	15	
31	32	4	-3526.923946113123	0.0007862207178728068	45.21954928629211	4	10	11	15	
32	51	4	-3526.926831878822	0.000783955139629624	45.21829601417301	2	4	9	15	
33	51	4	-3526.931167145018	0.0007805638418148425	45.2164132319867	2	4	10	15	
34	50	4	-3526.931722308873	0.000780130621248243	45.21617212738769	4	11	15	16	
35	37	4	-3526.933677202065	0.0007786070389135883	45.21532312806175	2	4	12	15	
36	36	4	-3526.941120703879	0.0007728329922300043	45.21209045629784	2	4	5	15	
