Sweep	n_mod	n_accept	n_mod_0_1	n_accept_0_1	n_mod_1_0	n_accept_1_0
11165	15	6	9	4	6	2
11168	15	5	5	1	10	4
11169	13	4	7	3	6	1
11170	17	8	12	6	5	2
11172	16	7	5	2	11	5
11174	18	6	10	4	8	2
11175	16	7	7	4	9	3
11176	14	5	4	1	10	4
11178	14	5	5	2	9	3
11179	15	10	8	8	7	2
11180	21	7	8	1	13	6
11181	15	7	10	6	5	1
11183	22	8	9	2	13	6
11184	13	6	5	2	8	4
11188	17	8	11	5	6	3
11189	12	5	3	1	9	4
11191	12	4	5	2	7	2
11192	18	10	11	8	7	2
11194	19	13	7	6	12	7
11195	21	7	9	2	12	5
11197	13	3	4	0	9	3
11198	17	6	11	5	6	1
11199	12	5	2	1	10	4
11202	13	5	7	5	6	0
11203	19	7	9	2	10	5
11207	17	8	10	5	7	3
11208	13	5	6	2	7	3
11211	13	4	4	0	9	4
11212	12	4	6	3	6	1
11214	13	6	7	5	6	1
11216	17	8	6	4	11	4
11220	15	6	6	2	9	4
11222	15	3	6	0	9	3
11224	20	8	15	6	5	2
11225	20	8	10	5	10	3
11226	23	10	11	4	12	6
11230	16	11	8	7	8	4
11232	18	7	9	2	9	5
11233	13	7	5	3	8	4
11235	18	8	7	3	11	5
11238	16	6	9	4	7	2
11239	14	7	6	4	8	3
11241	18	10	9	6	9	4
11243	23	11	10	4	13	7
11249	21	9	11	4	10	5
11250	14	5	5	2	9	3
11252	13	6	7	4	6	2
11254	15	7	6	3	9	4
11255	16	9	9	6	7	3
11257	13	6	3	1	10	5
11259	15	7	10	5	5	2
11260	18	9	13	7	5	2
11264	22	11	6	1	16	10
11265	23	14	16	12	7	2
11266	21	10	5	2	16	8
11268	16	12	6	5	10	7
11271	16	5	7	3	9	2
11273	15	7	6	2	9	5
11275	15	5	9	3	6	2
11276	13	7	6	5	7	2
11277	17	10	7	4	10	6
11279	15	6	11	4	4	2
11282	20	10	10	4	10	6
11284	17	8	8	5	9	3
11288	18	8	9	4	9	4
11291	20	9	9	4	11	5
11292	12	6	4	2	8	4
11293	15	6	8	3	7	3
11294	12	5	5	3	7	2
11296	17	8	9	5	8	3
11298	20	8	10	3	10	5
11299	13	5	4	1	9	4
11300	18	6	11	5	7	1
11301	15	4	8	1	7	3
11302	15	7	7	4	8	3
11304	19	5	11	2	8	3
11305	15	5	6	2	9	3
11307	11	4	3	2	8	2
11308	15	6	9	5	6	1
11309	16	6	6	2	10	4
11310	16	3	8	1	8	2
11313	15	7	6	4	9	3
11314	14	7	5	3	9	4
11316	10	3	5	1	5	2
11318	17	6	10	4	7	2
11320	15	6	8	4	7	2
11321	20	9	8	3	12	6
11323	17	5	8	3	9	2
11326	14	5	7	3	7	2
11327	16	7	8	3	8	4
11328	18	10	9	7	9	3
11333	18	10	5	2	13	8
11336	14	5	7	2	7	3
11337	13	5	8	5	5	0
11338	20	10	10	5	10	5
11339	15	7	8	3	7	4
11342	17	8	7	3	10	5
11346	18	10	10	7	8	3
11348	20	11	10	6	10	5
11353	16	10	5	3	11	7
11354	18	9	8	5	10	4
11355	16	6	9	3	7	3
11357	12	4	4	1	8	3
11359	15	8	8	5	7	3
11362	12	4	6	0	6	4
11363	14	4	8	4	6	0
11368	14	6	7	2	7	4
11369	15	6	7	3	8	3
11371	9	3	2	1	7	2
11374	24	15	16	12	8	3
11375	17	10	3	1	14	9
11377	17	6	9	4	8	2
11379	15	3	6	0	9	3
11380	13	4	6	2	7	2
11381	15	7	9	5	6	2
11382	15	7	8	4	7	3
11383	16	7	8	3	8	4
11384	13	6	5	3	8	3
11386	13	5	6	2	7	3
11387	17	8	10	5	7	3
11388	21	11	12	6	9	5
11389	20	9	9	2	11	7
11390	18	8	10	6	8	2
11391	19	12	9	7	10	5
11392	15	8	6	4	9	4
11396	16	11	5	4	11	7
11400	17	8	8	4	9	4
11402	17	10	9	6	8	4
11403	25	9	12	4	13	5
11404	23	6	12	0	11	6
11405	11	1	6	1	5	0
11407	15	6	10	6	5	0
11410	19	10	6	4	13	6
11412	15	9	6	3	9	6
11413	16	7	8	6	8	1
11415	15	8	5	3	10	5
11416	14	8	8	6	6	2
11418	22	12	11	6	11	6
11420	16	11	9	7	7	4
11421	19	9	8	2	11	7
11422	18	7	9	4	9	3
11423	18	10	6	3	12	7
11424	17	6	9	4	8	2
11425	15	7	6	2	9	5
11426	14	5	5	2	9	3
11429	13	4	5	3	8	1
11431	18	8	11	6	7	2
11432	16	6	4	0	12	6
11433	19	9	12	7	7	2
11434	21	10	10	5	11	5
11435	17	8	8	3	9	5
11437	18	7	10	4	8	3
11440	16	6	7	2	9	4
11441	16	8	9	6	7	2
11442	15	9	4	1	11	8
11443	11	1	4	1	7	0
11444	16	10	9	8	7	2
11445	18	9	5	3	13	6
11446	17	6	7	2	10	4
11449	15	6	6	3	9	3
11452	16	3	9	3	7	0
11454	11	4	1	0	10	4
11455	18	6	12	6	6	0
11458	18	10	11	5	7	5
11459	13	7	3	2	10	5
11463	17	11	8	6	9	5
11465	21	7	14	4	7	3
11466	18	10	9	4	9	6
11470	19	9	9	5	10	4
11472	19	10	9	5	10	5
11475	20	9	10	5	10	4
11476	14	7	7	4	7	3
11478	16	9	6	4	10	5
11479	18	10	6	4	12	6
11481	14	7	7	3	7	4
11485	16	7	6	3	10	4
11486	13	6	6	4	7	2
11488	16	11	8	6	8	5
11491	17	9	9	4	8	5
11492	18	10	9	6	9	4
11494	17	11	6	4	11	7
11499	18	8	9	5	9	3
11501	15	6	5	2	10	4
11502	16	10	9	6	7	4
11504	21	10	10	5	11	5
11507	21	10	13	6	8	4
11508	17	10	8	6	9	4
11511	24	11	9	3	15	8
11512	16	11	9	6	7	5
11513	19	7	8	2	11	5
11516	17	4	9	3	8	1
11517	15	6	9	5	6	1
11519	19	11	9	4	10	7
11520	20	12	10	7	10	5
11521	15	7	8	4	7	3
11522	19	10	9	4	10	6
11523	16	7	6	2	10	5
11524	16	8	8	5	8	3
11525	16	8	6	3	10	5
11528	14	5	6	2	8	3
11529	17	6	8	2	9	4
11530	18	6	11	4	7	2
11531	12	5	4	2	8	3
11534	14	5	6	3	8	2
11539	16	3	7	0	9	3
11540	11	1	6	1	5	0
11542	19	10	12	9	7	1
11543	24	10	11	4	13	6
11544	19	10	10	6	9	4
11545	20	9	7	3	13	6
11547	15	7	9	3	6	4
11548	10	2	2	1	8	1
11551	17	10	8	5	9	5
11554	22	7	12	3	10	4
11556	16	10	8	5	8	5
11557	13	4	5	1	8	3
11560	12	6	5	4	7	2
11561	13	6	4	2	9	4
11562	17	9	9	6	8	3
11570	22	8	11	4	11	4
11572	23	15	15	10	8	5
11573	22	14	10	6	12	8
11575	17	7	8	2	9	5
11581	15	6	5	2	10	4
11582	12	3	4	1	8	2
11584	12	6	7	4	5	2
11586	12	5	5	3	7	2
11588	16	4	6	1	10	3
11590	13	4	6	2	7	2
11591	16	9	8	6	8	3
11592	12	4	5	1	7	3
11593	17	8	9	5	8	3
11597	20	8	10	4	10	4
11599	16	9	5	5	11	4
11600	17	7	6	2	11	5
11601	12	7	5	4	7	3
11602	18	7	9	3	9	4
11604	16	7	7	3	9	4
11607	14	5	7	4	7	1
11608	16	5	6	2	10	3
11611	20	10	10	5	10	5
11612	8	2	2	0	6	2
11614	15	6	7	3	8	3
11615	13	2	6	1	7	1
11617	13	4	7	2	6	2
11619	16	8	9	5	7	3
11620	18	8	8	3	10	5
11621	18	7	10	4	8	3
11625	11	5	2	1	9	4
11627	13	1	7	1	6	0
11628	14	5	7	4	7	1
11629	20	10	10	5	10	5
11630	15	8	6	3	9	5
11631	19	8	13	6	6	2
11636	21	8	11	3	10	5
11638	16	5	7	2	9	3
11640	10	2	3	0	7	2
11641	12	4	6	3	6	1
11644	19	9	10	5	9	4
11650	15	5	5	1	10	4
11651	11	3	4	1	7	2
11653	12	2	6	1	6	1
11654	14	4	8	3	6	1
11655	12	6	6	4	6	2
11657	16	7	6	3	10	4
11664	16	7	7	3	9	4
11665	17	8	9	5	8	3
11667	20	7	9	2	11	5
11672	18	6	12	5	6	1
11677	17	6	8	2	9	4
11680	16	11	7	7	9	4
11681	14	10	5	5	9	5
11682	19	8	8	2	11	6
11685	17	4	9	2	8	2
11686	15	5	8	3	7	2
11689	16	10	8	6	8	4
11691	19	11	8	4	11	7
11693	18	7	12	5	6	2
11696	16	7	7	4	9	3
11698	14	5	5	2	9	3
11699	19	11	10	6	9	5
11702	29	14	16	5	13	9
11704	15	4	7	2	8	2
11707	18	6	10	4	8	2
11708	17	3	9	0	8	3
11709	13	6	8	5	5	1
11713	17	11	8	5	9	6
11716	14	6	6	2	8	4
11718	19	7	11	5	8	2
11721	15	5	6	2	9	3
11724	18	9	8	5	10	4
11725	21	9	10	4	11	5
11727	16	7	7	4	9	3
11728	15	6	9	2	6	4
11729	12	7	4	3	8	4
11731	17	9	10	6	7	3
11732	15	5	4	0	11	5
11734	10	2	5	1	5	1
11735	14	7	8	6	6	1
11736	13	7	5	2	8	5
11737	15	9	6	5	9	4
11738	13	5	4	2	9	3
11739	21	8	14	6	7	2
11740	24	12	13	6	11	6
11741	14	8	6	3	8	5
11743	14	6	5	3	9	3
11744	14	4	5	1	9	3
11747	11	5	4	2	7	3
11748	15	6	7	3	8	3
11750	13	2	6	0	7	2
11753	12	1	7	1	5	0
11754	13	4	7	4	6	0
11762	16	4	5	0	11	4
11763	17	9	10	8	7	1
11765	17	7	6	2	11	5
11766	16	9	7	4	9	5
11767	18	8	9	5	9	3
11769	20	12	9	6	11	6
11771	18	10	9	5	9	5
11773	17	9	6	3	11	6
11774	11	2	4	0	7	2
11777	16	6	9	5	7	1
11778	16	5	9	3	7	2
11783	18	8	9	4	9	4
11789	11	6	3	2	8	4
11791	20	8	12	5	8	3
11792	20	8	10	3	10	5
11794	17	7	9	3	8	4
11795	13	7	7	6	6	1
11796	12	3	5	1	7	2
11799	17	7	5	2	12	5
11802	19	8	10	5	9	3
11803	21	9	9	4	12	5
11805	14	9	5	4	9	5
11810	18	8	9	4	9	4
11813	18	6	9	3	9	3
11822	20	8	11	5	9	3
11825	13	6	2	1	11	5
11827	15	6	8	5	7	1
11834	17	9	8	4	9	5
11836	12	6	5	4	7	2
11839	19	11	8	4	11	7
11840	18	10	9	7	9	3
11842	19	16	7	7	12	9
11845	13	6	6	3	7	3
11855	19	8	7	2	12	6
11856	17	5	10	3	7	2
11857	12	3	6	2	6	1
11858	18	8	10	6	8	2
11860	21	11	9	4	12	7
11866	15	3	7	0	8	3
11867	14	4	8	3	6	1
11870	13	5	7	3	6	2
11871	17	7	9	3	8	4
11876	16	7	8	3	8	4
11878	12	6	7	4	5	2
11879	14	6	8	4	6	2
11882	21	7	8	1	13	6
11883	14	6	7	4	7	2
11884	15	7	6	4	9	3
11889	12	6	6	3	6	3
11890	19	9	8	4	11	5
11891	16	5	8	1	8	4
11898	16	4	10	3	6	1
11900	11	3	3	0	8	3
11901	10	2	6	2	4	0
11902	12	6	5	4	7	2
11903	18	11	9	6	9	5
11904	15	4	4	0	11	4
11905	11	2	5	1	6	1
11906	13	4	8	3	5	1
11907	14	4	5	2	9	2
11909	13	7	8	5	5	2
11911	11	3	3	0	8	3
11915	16	7	7	4	9	3
11917	16	10	7	5	9	5
11918	14	5	7	3	7	2
11919	17	7	6	2	11	5
11920	20	7	13	5	7	2
11921	14	5	4	2	10	3
11923	15	6	8	5	7	1
11926	17	8	6	4	11	4
11928	22	11	10	4	12	7
11929	16	6	8	2	8	4
11930	12	6	5	3	7	3
11931	21	10	13	7	8	3
11932	17	8	8	4	9	4
11933	17	7	6	3	11	4
11934	14	7	6	4	8	3
11935	18	10	8	5	10	5
11936	24	11	13	4	11	7
11937	12	3	4	1	8	2
11939	15	6	7	4	8	2
11941	16	9	9	5	7	4
11944	15	8	4	2	11	6
11947	19	11	12	9	7	2
11948	19	10	5	2	14	8
11950	16	9	9	6	7	3
11951	17	7	9	2	8	5
11952	15	6	7	3	8	3
11954	16	6	10	4	6	2
11955	16	5	10	4	6	1
11957	16	6	8	2	8	4
11958	11	7	2	1	9	6
11959	14	9	8	7	6	2
11960	19	8	10	3	9	5
11961	15	4	9	2	6	2
11963	15	6	8	3	7	3
11964	20	7	11	5	9	2
11966	14	8	6	3	8	5
11970	11	5	3	1	8	4
11972	11	3	6	3	5	0
11974	13	5	8	4	5	1
11975	16	9	5	1	11	8
11976	14	6	9	5	5	1
11977	21	9	11	4	10	5
11978	17	8	8	4	9	4
11980	17	9	8	4	9	5
11981	11	3	3	1	8	2
11982	14	4	6	2	8	2
11985	16	5	8	4	8	1
11987	15	5	7	2	8	3
11988	17	8	8	4	9	4
11993	15	10	9	5	6	5
11995	16	7	7	4	9	3
11998	19	7	8	3	11	4
12001	11	4	4	1	7	3
12002	15	6	7	5	8	1
12008	19	7	11	3	8	4
12011	18	7	9	4	9	3
12013	21	10	10	5	11	5
12016	16	9	5	3	11	6
12019	15	5	8	3	7	2
12020	20	10	11	6	9	4
12021	15	7	4	2	11	5
12022	18	7	9	4	9	3
12023	17	7	9	4	8	3
12025	14	8	3	3	11	5
12026	16	6	10	4	6	2
12027	18	10	10	7	8	3
12029	19	12	8	4	11	8
12030	20	9	9	4	11	5
12031	22	9	13	5	9	4
12032	17	7	6	3	11	4
12034	18	11	8	6	10	5
12035	16	5	6	1	10	4
12036	11	4	4	2	7	2
12037	12	4	5	2	7	2
12041	18	5	10	3	8	2
12042	15	8	7	5	8	3
12046	17	9	7	4	10	5
12048	15	7	9	5	6	2
12057	21	13	9	6	12	7
12058	15	5	5	2	10	3
12059	8	3	0	0	8	3
12060	14	4	6	4	8	0
12061	22	10	12	5	10	5
12063	16	7	5	3	11	4
12064	16	6	7	2	9	4
12066	16	8	9	5	7	3
12067	12	4	4	1	8	3
12069	15	5	8	2	7	3
12071	17	7	9	5	8	2
12072	13	6	6	4	7	2
12079	14	6	3	1	11	5
12080	10	3	3	2	7	1
12081	16	4	7	1	9	3
12082	14	8	7	6	7	2
12083	15	7	9	5	6	2
12085	19	11	7	4	12	7
12088	17	8	6	3	11	5
12089	17	8	8	5	9	3
12090	14	8	7	4	7	4
12091	14	8	3	2	11	6
12092	15	7	8	5	7	2
12094	18	10	9	5	9	5
12095	15	6	7	3	8	3
12096	11	6	5	3	6	3
12099	18	7	9	3	9	4
12100	19	9	10	6	9	3
12101	18	8	7	3	11	5
12105	15	7	6	3	9	4
12106	16	8	8	4	8	4
12107	14	6	7	3	7	3
12108	16	9	10	5	6	4
12110	18	5	8	1	10	4
12112	12	4	5	3	7	1
12115	15	7	5	4	10	3
12116	16	9	6	4	10	5
12118	16	9	8	5	8	4
12120	17	9	8	4	9	5
12122	18	7	9	4	9	3
12124	18	7	8	3	10	4
12125	18	8	10	5	8	3
12128	16	9	7	5	9	4
12129	16	7	4	0	12	7
12130	7	2	3	2	4	0
12134	18	10	10	7	8	3
12135	17	9	7	5	10	4
12136	18	9	6	3	12	6
12137	16	7	6	4	10	3
12138	13	6	3	1	10	5
12140	10	3	6	3	4	0
12143	16	6	10	5	6	1
12146	21	13	11	6	10	7
12151	20	15	11	10	9	5
12156	26	17	11	7	15	10
12157	19	14	5	5	14	9
12161	13	7	5	4	8	3
12162	23	10	14	7	9	3
12163	21	13	8	5	13	8
12170	14	10	6	5	8	5
12171	14	8	4	3	10	5
12172	19	9	13	6	6	3
12173	20	6	10	2	10	4
12176	20	9	9	3	11	6
12177	17	6	9	3	8	3
12178	16	9	9	6	7	3
12180	16	8	7	2	9	6
12181	14	5	9	4	5	1
12183	12	5	3	0	9	5
12185	14	5	9	5	5	0
12187	17	4	9	2	8	2
12189	15	6	6	3	9	3
12191	13	6	3	1	10	5
12195	12	3	5	2	7	1
12197	11	4	5	3	6	1
12199	16	7	6	3	10	4
12200	12	4	4	1	8	3
12201	10	2	5	1	5	1
12202	10	1	6	1	4	0
12203	16	7	9	5	7	2
12204	14	7	8	5	6	2
12206	22	12	12	6	10	6
12207	16	9	3	2	13	7
12208	16	6	8	4	8	2
12211	18	9	8	4	10	5
12213	14	6	7	4	7	2
12216	15	7	4	2	11	5
12218	16	10	11	9	5	1
12219	18	9	7	2	11	7
12221	19	9	11	6	8	3
12222	16	6	5	1	11	5
12223	17	8	9	5	8	3
12224	18	8	5	2	13	6
12226	13	5	5	4	8	1
12228	13	8	5	4	8	4
12232	11	3	6	1	5	2
12236	14	4	5	1	9	3
12237	16	8	10	6	6	2
12240	19	9	8	4	11	5
12243	21	8	10	3	11	5
12245	13	3	5	0	8	3
12248	12	2	7	2	5	0
12249	15	7	7	5	8	2
12250	16	10	5	4	11	6
12254	13	3	4	0	9	3
12258	15	3	9	2	6	1
12259	15	4	10	3	5	1
12261	15	4	7	0	8	4
12262	9	4	4	4	5	0
12263	10	4	5	2	5	2
12267	10	7	3	3	7	4
12271	14	5	9	3	5	2
12272	16	7	7	4	9	3
12276	22	9	11	4	11	5
12278	16	6	8	4	8	2
12279	16	8	7	4	9	4
12283	12	4	4	2	8	2
12284	19	8	12	5	7	3
12285	23	11	11	4	12	7
12286	16	8	8	3	8	5
12287	11	7	3	3	8	4
12288	17	9	10	7	7	2
12293	17	9	7	4	10	5
12294	16	8	5	3	11	5
12295	16	7	9	5	7	2
12297	16	8	9	6	7	2
12298	23	17	10	7	13	10
12301	17	10	6	3	11	7
12302	19	8	10	4	9	4
12303	13	5	4	2	9	3
12307	14	4	8	2	6	2
12308	11	5	5	3	6	2
12309	16	8	7	5	9	3
12311	17	7	8	3	9	4
12312	17	6	10	4	7	2
12315	16	7	8	4	8	3
12316	16	10	4	3	12	7
12318	15	8	6	5	9	3
12319	15	8	8	4	7	4
12323	14	6	5	2	9	4
12324	17	10	8	6	9	4
12326	13	8	5	4	8	4
12327	22	11	12	7	10	4
12328	15	8	4	1	11	7
12332	14	7	8	4	6	3
12333	12	6	4	3	8	3
12334	16	9	7	6	9	3
12335	16	6	5	1	11	5
12337	18	9	10	6	8	3
12338	20	10	8	4	12	6
12339	15	9	7	6	8	3
12342	18	7	10	4	8	3
12346	14	6	4	1	10	5
12348	14	2	7	1	7	1
12349	16	10	8	6	8	4
12357	15	6	6	1	9	5
12360	13	5	6	3	7	2
12362	14	3	6	0	8	3
12364	14	4	8	4	6	0
12367	14	8	6	4	8	4
12371	15	7	8	3	7	4
12373	23	10	14	7	9	3
12375	18	8	7	2	11	6
12376	14	6	6	3	8	3
12378	13	5	6	3	7	2
12379	20	11	11	6	9	5
12382	15	6	8	2	7	4
12383	19	11	11	7	8	4
12384	14	4	5	2	9	2
12385	20	7	11	5	9	2
12387	15	4	4	0	11	4
12388	15	6	6	3	9	3
12390	21	10	13	6	8	4
12393	16	9	8	4	8	5
12394	16	7	7	2	9	5
12396	16	7	7	4	9	3
12398	15	9	8	5	7	4
12399	10	4	6	3	4	1
12401	19	7	6	2	13	5
12402	14	3	8	3	6	0
12403	22	9	9	3	13	6
12407	18	5	9	3	9	2
12408	15	7	9	4	6	3
12409	20	9	10	5	10	4
12410	17	9	6	4	11	5
12411	9	4	3	2	6	2
12414	17	10	8	5	9	5
12417	19	9	9	6	10	3
12421	18	9	7	4	11	5
12427	14	7	5	2	9	5
12430	18	11	9	6	9	5
12431	18	7	7	3	11	4
12436	16	9	8	5	8	4
12438	18	8	11	6	7	2
12440	22	11	9	5	13	6
12442	17	12	7	7	10	5
12443	20	11	7	3	13	8
12444	18	10	7	4	11	6
12447	16	9	8	5	8	4
12450	13	7	5	3	8	4
12456	21	11	12	6	9	5
12459	17	9	9	8	8	1
12460	24	11	8	3	16	8
12464	22	12	13	7	9	5
12465	16	6	4	0	12	6
12467	13	3	6	2	7	1
12473	17	6	10	3	7	3
12475	15	5	8	3	7	2
12476	15	7	6	2	9	5
12480	16	4	8	3	8	1
12482	22	10	13	6	9	4
12483	16	8	8	3	8	5
12484	16	6	9	5	7	1
12488	16	7	7	3	9	4
12489	14	8	5	3	9	5
12490	14	5	6	1	8	4
12491	16	7	12	6	4	1
12492	21	9	8	2	13	7
12493	12	5	6	3	6	2
12495	17	10	10	7	7	3
12496	15	7	7	3	8	4
12499	17	7	9	3	8	4
12500	20	14	11	9	9	5
12502	17	10	4	3	13	7
12507	17	9	7	4	10	5
12509	19	7	10	4	9	3
12511	12	4	7	3	5	1
12512	19	7	10	3	9	4
12513	17	7	8	4	9	3
12515	15	5	7	3	8	2
12522	19	10	7	3	12	7
12523	13	6	5	2	8	4
12525	8	1	2	0	6	1
12526	19	9	12	8	7	1
12527	16	9	4	2	12	7
12528	19	5	10	3	9	2
12529	13	6	4	3	9	3
12530	16	8	6	4	10	4
12533	20	8	13	5	7	3
12535	16	6	10	5	6	1
12541	21	8	10	2	11	6
12543	14	6	4	1	10	5
12546	16	4	9	3	7	1
12547	17	6	9	3	8	3
12548	16	6	8	4	8	2
12551	19	10	10	5	9	5
12552	17	7	8	3	9	4
12557	16	7	6	3	10	4
12559	17	9	8	4	9	5
12560	16	4	8	3	8	1
12561	17	5	8	3	9	2
12563	18	10	9	7	9	3
12564	18	9	6	3	12	6
12565	17	5	7	2	10	3
12570	21	9	10	5	11	4
12571	16	6	4	1	12	5
12572	15	7	8	5	7	2
12573	18	10	7	3	11	7
12574	16	6	11	5	5	1
12577	18	10	7	4	11	6
12584	19	7	11	3	8	4
12585	15	7	8	4	7	3
12586	15	10	6	5	9	5
12588	16	7	7	3	9	4
12589	19	8	10	4	9	4
12590	17	7	9	5	8	2
12595	17	6	7	1	10	5
12596	14	5	8	3	6	2
12599	15	5	6	2	9	3
12600	11	4	3	2	8	2
12601	20	8	12	6	8	2
12605	13	7	1	1	12	6
12606	17	6	10	5	7	1
12608	19	7	11	4	8	3
12609	17	7	9	4	8	3
12611	21	9	12	5	9	4
12613	19	9	8	3	11	6
12615	18	9	10	5	8	4
12618	15	6	3	1	12	5
12619	8	1	3	1	5	0
12620	11	3	5	3	6	0
12621	14	8	5	4	9	4
12628	16	8	6	3	10	5
12630	16	7	8	4	8	3
12632	13	5	6	3	7	2
12635	13	5	3	1	10	4
12636	8	1	3	1	5	0
12638	14	4	8	2	6	2
12639	18	10	9	6	9	4
12641	18	5	7	2	11	3
12643	18	5	9	2	9	3
12644	18	5	10	4	8	1
12645	13	4	4	0	9	4
12646	13	3	5	1	8	2
12647	18	9	11	7	7	2
12648	16	9	5	2	11	7
12649	15	3	7	2	8	1
12650	15	6	8	3	7	3
12652	17	6	11	5	6	1
12654	13	5	5	2	8	3
12655	14	6	6	3	8	3
12658	18	8	6	2	12	6
12660	20	8	12	6	8	2
12661	19	10	10	5	9	5
12663	22	10	11	5	11	5
12664	19	10	11	6	8	4
12666	16	10	5	4	11	6
12668	14	6	6	2	8	4
12669	16	9	8	6	8	3
12672	21	8	8	1	13	7
12674	19	10	13	8	6	2
12675	16	9	6	4	10	5
12676	20	10	9	5	11	5
12678	16	10	5	4	11	6
12679	12	5	3	1	9	4
12680	16	8	9	7	7	1
12682	17	7	5	1	12	6
12684	17	8	10	6	7	2
12687	18	7	9	3	9	4
12688	15	7	7	3	8	4
12689	21	9	11	6	10	3
12691	17	6	8	2	9	4
12695	23	15	14	10	9	5
12696	25	9	9	0	16	9
12698	16	6	9	5	7	1
12699	17	9	8	4	9	5
12701	20	10	12	7	8	3
12704	17	10	7	4	10	6
12707	15	6	4	1	11	5
12708	13	5	7	3	6	2
12709	16	7	7	4	9	3
12711	15	10	8	6	7	4
12713	17	10	10	5	7	5
12714	15	5	6	2	9	3
12715	17	7	8	3	9	4
12716	18	7	11	5	7	2
12717	17	6	8	3	9	3
12718	21	12	11	8	10	4
12720	22	11	10	4	12	7
12722	20	8	7	2	13	6
12723	13	5	7	3	6	2
12726	9	4	2	1	7	3
12728	13	5	7	3	6	2
12729	14	6	7	4	7	2
12734	19	9	8	3	11	6
12736	16	7	10	5	6	2
12738	18	8	8	3	10	5
12739	15	6	6	3	9	3
12740	12	4	4	2	8	2
12741	17	8	9	5	8	3
12744	14	7	7	3	7	4
12745	12	8	6	4	6	4
12748	13	4	4	1	9	3
12750	14	5	8	4	6	1
12752	19	11	9	5	10	6
12753	16	7	9	5	7	2
12755	13	8	4	3	9	5
12756	18	9	8	5	10	4
12757	18	9	10	5	8	4
12758	21	12	9	4	12	8
12760	14	5	6	2	8	3
12763	12	4	5	2	7	2
12764	15	3	7	2	8	1
12765	13	4	4	1	9	3
12768	13	3	5	2	8	1
12771	16	5	8	3	8	2
12772	18	7	9	3	9	4
12773	11	2	3	0	8	2
12777	19	8	12	8	7	0
12778	27	13	15	7	12	6
12779	21	9	9	2	12	7
12781	18	5	8	2	10	3
12787	18	7	10	3	8	4
12790	20	9	11	6	9	3
12791	16	8	8	3	8	5
12792	17	8	9	5	8	3
12794	16	7	7	3	9	4
12796	17	7	10	3	7	4
12797	15	6	8	3	7	3
12801	14	2	5	1	9	1
12803	15	5	6	2	9	3
12805	17	8	9	6	8	2
12806	16	5	4	0	12	5
12808	13	4	8	4	5	0
12809	19	9	11	5	8	4
12811	19	10	8	3	11	7
12813	15	7	8	4	7	3
12814	18	9	8	4	10	5
12816	17	7	10	4	7	3
12817	12	5	3	1	9	4
12818	18	10	11	8	7	2
12821	20	9	8	2	12	7
12824	11	4	6	3	5	1
12826	15	3	6	1	9	2
12827	13	6	8	6	5	0
12828	16	7	3	0	13	7
12830	19	7	11	6	8	1
12832	17	8	7	4	10	4
12838	19	11	8	5	11	6
12840	18	11	10	7	8	4
12843	21	15	9	7	12	8
12847	21	11	10	4	11	7
12853	18	7	9	3	9	4
12855	15	5	5	1	10	4
12856	15	4	8	3	7	1
12857	18	4	10	2	8	2
12858	14	4	6	2	8	2
12859	11	2	6	1	5	1
12860	13	3	7	1	6	2
12862	16	8	8	6	8	2
12863	19	12	9	7	10	5
12865	17	7	5	0	12	7
12869	16	6	9	4	7	2
12872	15	5	7	3	8	2
12873	15	7	7	4	8	3
12875	19	4	13	3	6	1
12876	23	12	14	8	9	4
12877	14	9	4	2	10	7
12879	19	11	10	5	9	6
12880	19	6	8	2	11	4
12881	17	7	9	5	8	2
12882	17	7	9	3	8	4
12883	15	6	6	2	9	4
12884	19	13	10	9	9	4
12885	17	10	6	2	11	8
12886	19	5	13	4	6	1
12892	14	6	6	2	8	4
12897	16	7	11	5	5	2
12899	19	10	10	5	9	5
12907	18	10	12	8	6	2
12908	18	11	2	0	16	11
12910	13	4	8	3	5	1
12913	18	7	10	4	8	3
12914	17	9	8	5	9	4
12915	16	9	6	4	10	5
12917	15	4	7	0	8	4
12920	10	2	6	2	4	0
12921	12	4	7	3	5	1
12922	19	8	11	5	8	3
12924	15	6	4	0	11	6
12925	10	5	6	5	4	0
12926	19	6	10	3	9	3
12927	18	5	8	1	10	4
12934	15	6	7	4	8	2
12935	15	3	8	2	7	1
12936	16	9	6	4	10	5
12937	18	6	8	2	10	4
12938	13	3	5	1	8	2
12939	9	2	3	1	6	1
12940	13	3	6	2	7	1
12941	13	5	6	3	7	2
12942	14	5	7	3	7	2
12947	14	6	5	3	9	3
12949	15	3	9	1	6	2
12950	11	4	3	1	8	3
12951	14	6	8	5	6	1
12952	17	10	7	5	10	5
12954	20	10	11	6	9	4
12955	19	10	7	3	12	7
12956	14	7	8	5	6	2
12957	17	9	6	3	11	6
12958	18	6	10	4	8	2
12959	17	8	8	3	9	5
12961	19	9	12	7	7	2
12962	18	8	6	2	12	6
12963	21	12	11	8	10	4
12965	15	5	5	1	10	4
12966	21	13	11	8	10	5
12967	21	11	9	4	12	7
12968	18	9	11	6	7	3
12969	16	8	5	3	11	5
12971	18	7	9	3	9	4
12978	20	10	11	6	9	4
12983	17	9	5	3	12	6
12985	20	7	11	3	9	4
12993	15	6	8	4	7	2
12994	18	8	8	3	10	5
