Sweep	n_mod	n_accept	n_mod_0_1	n_accept_0_1	n_mod_1_0	n_accept_1_0
474	11	5	8	4	3	1
475	17	8	9	4	8	4
479	13	5	7	3	6	2
480	17	8	6	3	11	5
482	18	7	10	5	8	2
484	11	6	5	3	6	3
488	16	6	6	1	10	5
492	15	5	7	3	8	2
494	16	7	7	3	9	4
496	12	4	6	2	6	2
499	17	5	9	3	8	2
500	19	8	13	6	6	2
503	17	8	8	3	9	5
506	15	8	6	3	9	5
508	16	5	9	2	7	3
509	15	6	9	5	6	1
512	17	7	7	3	10	4
518	18	9	8	4	10	5
519	17	7	8	3	9	4
520	17	7	10	5	7	2
522	20	8	11	4	9	4
525	13	4	5	2	8	2
527	18	6	8	1	10	5
530	18	5	12	4	6	1
532	18	5	8	1	10	4
534	15	5	9	4	6	1
536	24	8	13	4	11	4
539	13	6	6	3	7	3
542	21	9	10	4	11	5
547	19	6	9	2	10	4
550	13	5	7	3	6	2
551	21	7	13	5	8	2
552	15	7	7	3	8	4
554	20	6	12	2	8	4
559	17	7	10	4	7	3
560	19	5	10	2	9	3
561	14	3	7	0	7	3
562	19	10	15	9	4	1
568	16	9	7	5	9	4
570	19	9	4	1	15	8
571	15	5	8	4	7	1
572	15	7	8	4	7	3
573	18	9	9	5	9	4
574	17	10	7	5	10	5
577	18	8	6	3	12	5
580	16	5	9	2	7	3
581	11	2	6	1	5	1
583	17	7	7	4	10	3
585	16	4	6	2	10	2
586	19	9	9	6	10	3
589	14	5	4	1	10	4
590	17	7	8	5	9	2
591	21	10	9	6	12	4
597	22	12	9	5	13	7
602	17	9	7	4	10	5
603	22	12	11	6	11	6
604	20	10	8	3	12	7
605	11	4	3	2	8	2
610	15	7	7	4	8	3
611	18	6	11	4	7	2
612	17	7	9	3	8	4
614	15	6	9	3	6	3
615	16	7	8	4	8	3
616	20	10	10	5	10	5
618	15	6	8	2	7	4
619	12	3	5	1	7	2
620	15	6	7	3	8	3
621	15	5	6	2	9	3
623	11	3	5	1	6	2
625	11	4	6	3	5	1
628	18	6	10	4	8	2
629	19	8	8	3	11	5
631	15	7	9	5	6	2
638	15	10	7	5	8	5
639	16	9	8	4	8	5
642	21	7	11	3	10	4
646	14	4	7	3	7	1
647	16	8	6	2	10	6
648	11	2	5	0	6	2
649	15	4	9	4	6	0
650	15	7	6	3	9	4
652	12	4	7	2	5	2
653	16	6	8	4	8	2
654	18	5	7	1	11	4
656	13	4	8	2	5	2
657	10	2	4	1	6	1
658	16	7	11	5	5	2
659	18	7	8	2	10	5
660	12	1	6	1	6	0
667	16	8	8	5	8	3
668	18	6	9	2	9	4
671	13	5	7	3	6	2
675	14	5	7	2	7	3
681	15	7	6	4	9	3
682	14	6	7	3	7	3
683	14	6	6	3	8	3
684	13	8	9	5	4	3
685	21	10	9	4	12	6
686	14	7	6	4	8	3
687	13	6	5	3	8	3
689	12	7	4	3	8	4
690	13	6	5	2	8	4
695	11	4	4	2	7	2
700	13	6	6	4	7	2
703	20	8	10	4	10	4
704	17	4	10	2	7	2
706	18	8	9	4	9	4
707	15	6	13	5	2	1
710	18	9	7	2	11	7
711	18	7	10	3	8	4
714	18	8	10	6	8	2
715	15	8	6	4	9	4
716	18	6	7	1	11	5
718	12	4	4	2	8	2
720	15	6	10	5	5	1
722	21	10	9	4	12	6
723	17	6	8	3	9	3
724	18	9	10	4	8	5
730	10	4	2	2	8	2
734	12	2	4	1	8	1
736	12	4	3	2	9	2
740	11	1	4	0	7	1
741	19	5	13	4	6	1
742	15	6	8	2	7	4
743	10	3	3	1	7	2
747	13	6	7	5	6	1
748	17	9	8	5	9	4
750	20	10	8	5	12	5
751	15	8	5	3	10	5
754	17	9	6	4	11	5
757	17	10	9	6	8	4
760	17	4	10	1	7	3
761	22	8	12	4	10	4
764	21	8	11	4	10	4
765	17	6	9	3	8	3
766	15	7	8	5	7	2
767	18	10	9	5	9	5
771	20	8	8	3	12	5
773	20	6	10	4	10	2
777	11	7	4	2	7	5
778	12	4	4	1	8	3
779	12	4	6	3	6	1
781	17	12	9	8	8	4
784	16	9	4	2	12	7
788	11	6	5	4	6	2
790	16	8	8	5	8	3
794	20	8	7	2	13	6
797	10	5	4	4	6	1
798	16	9	9	5	7	4
801	19	7	8	3	11	4
802	15	7	4	2	11	5
803	17	7	8	5	9	2
804	12	5	5	1	7	4
809	15	7	9	5	6	2
813	14	6	4	2	10	4
815	15	5	5	1	10	4
816	8	2	2	1	6	1
819	12	2	6	1	6	1
820	13	4	7	3	6	1
821	16	4	8	1	8	3
823	15	4	8	3	7	1
827	13	3	6	1	7	2
832	13	5	7	4	6	1
838	19	8	10	5	9	3
840	19	10	7	3	12	7
841	14	8	8	6	6	2
842	15	9	5	4	10	5
844	21	9	11	5	10	4
845	17	9	7	2	10	7
846	16	7	9	4	7	3
852	18	7	11	5	7	2
853	20	11	9	5	11	6
854	14	4	5	1	9	3
859	14	4	7	3	7	1
860	19	10	11	6	8	4
861	17	11	7	6	10	5
863	18	10	6	4	12	6
864	16	6	7	3	9	3
867	19	5	8	2	11	3
868	18	6	9	4	9	2
870	22	12	10	6	12	6
871	14	7	4	2	10	5
877	15	5	7	3	8	2
878	16	2	9	2	7	0
881	18	8	10	4	8	4
883	15	7	6	2	9	5
884	18	10	9	5	9	5
885	18	4	9	1	9	3
887	13	8	7	5	6	3
891	10	4	3	2	7	2
892	12	4	5	1	7	3
894	15	4	9	3	6	1
898	14	3	6	1	8	2
900	17	5	8	2	9	3
901	14	5	6	4	8	1
905	15	6	5	2	10	4
906	18	6	12	5	6	1
909	22	9	11	3	11	6
911	19	8	9	4	10	4
913	19	8	11	4	8	4
919	16	6	7	3	9	3
920	18	6	10	3	8	3
921	17	8	11	6	6	2
922	22	13	12	7	10	6
926	20	14	7	5	13	9
927	21	8	12	4	9	4
928	13	5	7	3	6	2
934	17	5	9	2	8	3
935	17	7	7	2	10	5
938	15	7	9	5	6	2
946	11	4	3	1	8	3
947	14	6	6	3	8	3
952	16	7	8	4	8	3
953	17	7	10	4	7	3
954	14	7	4	2	10	5
957	13	4	5	2	8	2
958	13	6	6	4	7	2
960	13	7	5	3	8	4
961	11	5	4	3	7	2
966	15	4	7	1	8	3
967	14	6	6	4	8	2
968	17	5	11	3	6	2
971	16	4	8	1	8	3
975	14	4	6	2	8	2
976	17	6	9	4	8	2
980	14	5	6	2	8	3
981	17	5	9	2	8	3
983	13	7	6	4	7	3
984	14	5	5	1	9	4
987	13	6	7	5	6	1
988	18	8	11	5	7	3
992	18	10	6	4	12	6
993	13	6	3	2	10	4
994	13	2	6	1	7	1
995	12	4	6	2	6	2
998	15	6	6	3	9	3
999	17	7	10	5	7	2
1004	16	6	7	2	9	4
1010	16	6	10	5	6	1
1011	15	6	5	1	10	5
1012	16	4	7	1	9	3
1017	11	4	6	3	5	1
1018	15	6	7	4	8	2
1022	19	9	9	4	10	5
1024	11	5	3	3	8	2
1025	15	8	6	3	9	5
1027	7	3	3	2	4	1
1028	15	7	6	4	9	3
1031	18	9	9	5	9	4
1033	18	8	8	3	10	5
1034	17	3	8	0	9	3
1035	14	5	7	4	7	1
1036	16	1	11	1	5	0
1041	17	9	7	4	10	5
1044	13	5	4	2	9	3
1045	11	5	6	2	5	3
1047	11	3	4	1	7	2
1048	13	4	7	3	6	1
1050	14	4	9	2	5	2
1053	17	9	9	5	8	4
1056	15	4	5	1	10	3
1062	18	5	10	3	8	2
1063	15	6	8	3	7	3
1064	20	7	11	5	9	2
1065	10	5	2	0	8	5
1066	12	5	8	5	4	0
1068	20	9	13	4	7	5
1071	14	6	7	3	7	3
1073	18	6	9	2	9	4
1074	15	5	6	2	9	3
1078	18	8	11	6	7	2
1079	14	8	4	3	10	5
1080	16	6	6	2	10	4
1082	10	1	4	1	6	0
1087	13	5	6	2	7	3
1090	12	2	7	2	5	0
1091	13	5	6	2	7	3
1095	9	2	2	0	7	2
1096	12	5	8	4	4	1
1097	17	10	9	6	8	4
1098	19	8	9	3	10	5
1104	15	4	5	1	10	3
1106	11	4	4	2	7	2
1107	11	4	7	4	4	0
1111	14	9	5	3	9	6
1112	14	6	7	4	7	2
1115	13	9	5	5	8	4
1116	17	7	7	4	10	3
1117	18	8	7	2	11	6
1118	18	4	12	4	6	0
1119	17	8	6	2	11	6
1120	17	8	8	5	9	3
1121	17	9	9	6	8	3
1122	15	7	5	2	10	5
1124	16	7	6	2	10	5
1126	17	7	10	5	7	2
1127	14	5	5	3	9	2
1129	15	8	6	3	9	5
1130	14	6	6	3	8	3
1131	17	6	11	4	6	2
1134	18	9	7	4	11	5
1136	14	7	6	4	8	3
1142	18	5	8	3	10	2
1143	16	10	8	4	8	6
1144	17	7	7	3	10	4
1147	16	6	7	2	9	4
1150	15	6	8	4	7	2
1152	15	6	7	3	8	3
1154	15	7	5	3	10	4
1155	15	4	8	2	7	2
1157	15	6	8	3	7	3
1158	12	3	4	0	8	3
1159	12	5	6	5	6	0
1160	14	6	6	2	8	4
1162	18	10	9	7	9	3
1169	12	6	3	1	9	5
1171	14	6	5	3	9	3
1172	18	7	11	5	7	2
1175	21	9	9	3	12	6
1177	14	5	7	3	7	2
1178	14	7	7	4	7	3
1179	19	9	10	4	9	5
1181	16	6	8	3	8	3
1183	12	6	4	2	8	4
1186	12	4	5	2	7	2
1187	15	5	9	3	6	2
1189	14	6	6	3	8	3
1190	25	9	16	6	9	3
1193	16	8	6	3	10	5
1195	19	8	11	5	8	3
1196	14	5	4	1	10	4
1197	18	7	10	5	8	2
1200	13	7	4	3	9	4
1202	12	6	4	2	8	4
1206	15	7	8	5	7	2
1207	16	7	4	1	12	6
1209	17	7	10	5	7	2
1212	12	5	4	2	8	3
1213	17	9	11	7	6	2
1214	17	6	7	1	10	5
1215	14	3	9	2	5	1
1216	15	5	4	1	11	4
1217	18	7	12	6	6	1
1218	23	11	13	5	10	6
1221	19	8	8	2	11	6
1222	16	7	9	5	7	2
1224	21	8	10	3	11	5
1225	14	6	8	4	6	2
1226	14	3	5	0	9	3
1227	15	5	9	4	6	1
1229	15	7	8	4	7	3
1230	20	10	10	5	10	5
1233	16	11	8	7	8	4
1234	20	12	7	4	13	8
