Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
10552	2	2	1	2
10554	3	1	1	2
10555	3	1	2	1
10559	1	1	1	2
10564	2	2	1	2
10565	2	2	2	1
10570	1	1	1	2
10577	1	1	2	1
10579	1	1	1	2
10580	3	4	1	2
10585	3	5	1	3
10587	3	4	1	2
10591	3	4	1	2
10594	3	5	1	2
10595	3	2	2	1
10603	1	1	1	2
10607	2	2	1	2
10609	2	2	2	1
10610	3	1	2	1
10618	1	1	1	2
10620	1	1	1	2
10621	3	5	1	2
10622	3	2	1	2
10626	1	1	2	1
10627	2	2	2	1
10629	3	1	1	2
10634	1	1	1	2
10642	3	1	1	2
10645	3	4	1	2
10649	3	1	1	2
10651	2	2	1	2
10653	2	2	1	2
10656	1	1	1	2
10666	1	1	1	2
10671	1	1	1	2
10673	2	2	1	2
10674	1	1	2	1
10675	3	4	1	2
10679	1	1	1	2
10680	1	1	1	3
10684	3	1	2	1
10686	3	2	1	2
10689	2	2	1	2
10692	3	1	1	2
10698	3	2	1	2
10699	1	1	2	1
10705	2	2	1	2
10708	1	1	1	3
10712	2	2	1	2
10715	3	1	1	2
10717	2	2	1	2
10718	3	5	1	2
10722	1	1	1	3
10723	2	2	1	2
10724	1	1	1	3
10725	2	2	1	2
10728	2	2	2	1
10730	3	1	3	1
10736	2	2	1	2
10740	1	1	1	2
10744	3	1	1	2
10746	2	2	1	2
10750	3	1	1	2
10755	3	1	1	2
10760	2	2	1	2
10763	3	2	1	2
10776	2	2	1	2
10782	3	2	1	2
10785	3	4	1	2
10788	2	2	1	2
10795	2	2	1	3
10806	3	1	1	3
10807	1	1	1	3
10808	1	1	1	2
10813	1	1	1	2
10815	1	1	1	2
10818	1	1	2	1
10820	2	2	1	2
10821	3	2	2	1
10825	3	2	1	2
10831	1	1	1	3
10841	1	1	1	2
10842	1	1	2	1
10843	2	2	1	2
10844	2	2	2	1
10845	3	1	1	2
10848	2	2	2	1
10850	1	1	1	2
10851	2	2	1	2
10856	1	1	1	2
10860	3	4	2	1
10864	1	1	2	1
10869	1	1	1	2
10870	1	1	2	1
10871	2	2	1	2
10872	1	1	2	1
10878	3	1	1	3
10880	3	1	1	2
10885	3	2	1	2
10890	2	2	2	1
10895	3	5	1	2
10901	3	5	2	1
10902	2	2	1	2
10906	1	1	1	2
10912	1	1	1	2
10916	1	1	1	2
10918	3	1	1	2
10919	2	2	1	3
10926	3	1	1	2
10932	1	1	1	2
10934	2	2	1	2
10939	3	1	1	2
10940	2	2	1	2
10944	3	1	1	3
10948	2	2	1	2
10951	3	4	1	2
10956	3	5	1	2
10958	1	1	2	1
10959	3	1	1	2
10960	3	2	1	2
10964	3	1	2	1
10965	2	2	1	2
10968	3	1	1	3
10969	1	1	1	2
10971	2	2	1	2
10976	2	2	1	2
10979	1	1	1	2
10985	2	2	2	1
10992	1	1	1	2
10993	1	1	1	2
10996	1	1	1	2
10999	3	1	1	2
11003	1	1	2	1
11004	1	1	2	1
11007	1	1	1	2
11012	2	2	1	2
11015	1	1	1	2
11016	3	1	1	2
11019	1	1	1	2
11022	1	1	2	1
11023	1	1	1	2
11031	3	4	2	1
11033	3	2	2	1
11036	3	4	1	2
11038	1	1	2	1
11040	1	1	1	2
11043	3	2	1	2
11051	1	1	1	3
11052	2	2	1	2
11060	2	2	1	2
11064	1	1	1	2
11067	3	4	1	2
11069	2	2	1	2
11071	1	1	1	2
11073	3	4	1	2
11083	1	1	2	1
11085	2	2	1	2
11088	3	4	1	2
11089	2	2	1	2
11091	2	2	1	3
11095	2	2	1	2
11096	3	4	1	2
11097	1	1	2	1
11098	2	2	2	1
11100	1	1	1	2
11101	3	1	1	3
11105	1	1	1	2
11107	3	4	1	2
11112	1	1	1	3
11114	1	1	1	2
11120	2	2	1	2
11123	2	2	2	1
11130	1	1	1	2
11131	2	2	1	3
11132	2	2	1	2
11134	1	1	2	1
11139	2	2	1	2
11142	2	2	1	2
11144	3	1	1	2
11145	1	1	1	2
11149	1	1	1	2
11151	1	1	1	2
11157	1	1	1	2
11159	2	2	1	2
11170	3	4	1	2
11171	1	1	1	2
11174	1	1	2	1
11182	3	1	1	2
11183	1	1	1	3
11184	1	1	1	2
11186	2	2	1	2
11190	2	2	1	2
11194	1	1	1	2
11196	1	1	1	2
11197	3	1	1	2
11201	1	1	1	2
11202	2	2	2	1
11203	2	2	1	2
11204	2	2	1	2
11215	2	2	1	2
11217	1	1	2	1
11218	1	1	2	1
11220	2	2	1	2
11221	3	1	1	2
11222	1	1	1	2
11228	2	2	1	2
11231	3	4	1	2
11237	2	2	1	2
11239	3	1	1	2
11240	2	2	1	2
11247	2	2	1	2
11251	3	5	1	3
11252	1	1	3	1
11257	3	2	2	1
11258	1	1	1	2
11259	1	1	1	2
11261	1	1	1	3
11264	2	2	1	2
11265	2	2	2	1
11266	1	1	1	2
11271	2	2	1	2
11276	3	2	1	2
11278	2	2	2	1
11279	3	1	1	2
11280	2	2	1	2
11281	1	1	1	2
11287	3	2	1	3
11288	3	1	3	1
11289	3	5	2	1
11291	2	2	2	1
11302	2	2	1	2
11304	1	1	1	2
11305	1	1	1	2
11313	1	1	1	2
11316	3	4	1	2
11318	2	2	1	2
11319	2	2	1	2
11320	1	1	2	1
11324	3	2	1	2
11325	3	1	1	2
11326	2	2	1	2
11328	3	1	1	2
11334	2	2	1	2
11336	3	1	1	2
11337	1	1	1	2
11338	3	2	2	1
11341	3	1	2	1
11342	1	1	2	1
11344	3	1	1	2
11348	2	2	1	2
11349	2	2	2	1
11352	1	1	1	2
11353	1	1	2	1
11354	1	1	2	1
11356	3	1	2	1
11358	3	5	1	2
11359	3	1	1	2
11360	2	2	1	2
11362	1	1	3	1
11365	2	2	1	2
11373	1	1	3	1
11376	1	1	1	2
11377	3	1	2	1
11378	3	1	1	2
11379	1	1	1	2
11382	2	2	1	2
11383	3	2	1	3
11386	1	1	1	3
11389	1	1	2	1
11390	1	1	1	2
11394	3	5	1	2
11398	1	1	1	2
11405	2	2	1	2
11407	3	1	1	2
11409	3	2	1	2
11411	1	1	2	1
11412	3	1	1	2
11413	2	2	1	2
11415	3	2	2	1
11416	3	2	2	1
11421	2	2	1	2
11426	2	2	2	1
11428	3	4	1	3
11431	1	1	2	1
11433	3	2	2	1
11434	3	2	2	1
11435	2	2	1	2
11437	2	2	1	3
11440	2	2	3	1
11442	1	1	2	1
11443	2	2	2	1
11444	1	1	1	2
11448	2	2	1	2
11460	3	1	1	2
11463	1	1	1	2
11465	3	1	2	1
11470	2	2	1	2
11471	1	1	2	1
11473	3	2	2	1
11474	3	1	1	2
11475	3	4	1	2
11479	2	2	1	2
11480	2	2	1	2
11483	1	1	1	2
11488	1	1	1	2
11493	2	2	1	2
11494	1	1	2	1
11499	3	1	1	2
11503	1	1	1	2
11504	2	2	1	2
11510	2	2	1	2
11521	1	1	2	1
11524	1	1	1	3
11526	3	2	1	2
11527	2	2	1	2
11528	3	1	1	2
11538	2	2	2	1
11541	1	1	2	1
11544	3	1	1	2
11546	3	1	1	2
11552	3	1	2	1
11553	1	1	1	2
11555	2	2	1	2
11556	3	1	2	1
11557	3	1	2	1
11560	3	2	1	2
11563	1	1	1	2
11573	3	1	1	2
11575	3	1	2	1
11579	1	1	1	2
11582	2	2	1	2
11584	3	1	1	2
11591	2	2	2	1
11593	1	1	1	2
11594	3	2	1	2
11599	3	4	1	2
11603	3	1	1	2
11604	3	1	2	1
11607	2	2	1	2
11610	3	2	1	2
11611	3	2	2	1
11616	3	1	2	1
11618	3	2	1	2
11622	2	2	1	2
11624	1	1	1	2
11627	1	1	3	2
11628	3	2	2	1
11630	1	1	1	2
11634	3	1	1	3
11637	2	2	2	1
11638	2	2	1	2
11640	1	1	1	3
11644	3	5	1	2
11650	3	2	1	2
11653	3	1	1	2
11654	2	2	1	2
11657	2	2	1	3
11661	3	1	1	2
11666	2	2	1	2
11668	3	1	1	2
11670	2	2	2	1
11671	1	1	1	2
11673	3	2	2	1
11678	3	1	2	1
11679	2	2	1	2
11684	2	2	1	3
11694	3	2	1	2
11698	2	2	1	2
11702	1	1	1	2
11708	2	2	1	2
11711	1	1	1	3
11717	3	4	1	2
11718	1	1	2	1
11719	2	2	2	1
11720	3	2	1	2
11723	3	2	1	2
11724	3	1	1	2
11726	3	1	1	2
11735	2	2	1	2
11737	2	2	1	2
11741	1	1	2	1
11743	2	2	1	2
11745	2	2	1	2
11746	3	4	2	1
11747	3	2	1	2
11748	3	5	2	1
11749	1	1	2	1
11753	1	1	1	2
11758	1	1	2	1
11765	2	2	1	2
11768	2	2	2	1
11769	2	2	1	2
11770	2	2	1	2
11771	3	4	1	2
11772	3	2	1	2
11778	3	2	2	1
11783	3	1	1	2
11793	3	2	1	2
11794	3	2	2	1
11797	2	2	2	1
11799	1	1	1	2
11802	3	1	1	2
11803	2	2	1	2
11809	2	2	1	2
11810	1	1	1	2
11812	2	2	1	2
11813	3	4	1	3
11814	1	1	1	2
11816	1	1	3	1
11819	3	1	1	2
11822	3	4	1	2
11828	2	2	2	1
11829	1	1	1	2
11838	1	1	1	2
11842	2	2	1	2
11845	3	1	1	2
11850	2	2	2	1
11854	2	2	1	2
11864	3	1	1	3
11865	2	2	1	3
11866	2	2	1	2
11877	2	2	1	2
11878	1	1	1	2
11880	1	1	1	2
11882	2	2	1	2
11884	2	2	2	1
11890	2	2	1	3
11894	3	1	1	3
11898	1	1	2	1
11899	2	2	2	1
11902	1	1	1	2
11903	1	1	1	2
11906	3	4	2	1
11907	3	5	1	2
11908	1	1	1	2
11913	1	1	2	1
11914	1	1	1	2
11917	3	2	1	2
11920	2	2	1	2
11929	1	1	1	2
11930	2	2	1	2
11931	2	2	1	2
11932	3	2	1	2
11935	3	1	1	3
11940	3	4	1	2
11945	2	2	1	2
11946	1	1	1	2
11949	3	1	1	3
11952	2	2	1	3
11954	1	1	3	1
11956	2	2	1	2
11957	3	1	1	2
11958	3	1	1	2
11961	1	1	1	2
11962	2	2	1	2
11966	2	2	1	2
11969	3	1	1	2
11971	3	1	1	2
11974	2	2	1	2
11976	1	1	2	1
11977	1	1	1	2
11980	2	2	1	2
11981	1	1	1	2
11991	1	1	1	2
11996	3	2	1	2
11999	3	2	1	2
12000	1	1	1	2
12004	3	2	1	2
12005	1	1	2	1
12006	3	4	1	2
12008	1	1	1	2
12009	3	1	3	1
12010	2	2	2	1
12017	1	1	1	2
12019	1	1	1	2
12021	3	2	1	2
12022	2	2	1	3
12025	3	2	2	1
12026	2	2	1	2
12027	2	2	2	1
12028	2	2	1	2
12029	2	2	2	1
12030	2	2	1	2
12031	3	4	2	1
12035	3	2	2	1
12037	2	2	1	2
12039	1	1	1	2
12040	2	2	1	2
12046	2	2	1	2
12048	2	2	1	2
12049	3	2	1	3
12050	1	1	2	1
12051	2	2	2	1
12054	1	1	1	3
12055	3	5	1	3
12057	3	4	1	2
12058	3	2	1	2
12059	1	1	1	2
12060	3	4	2	1
12061	1	1	1	2
12063	1	1	2	1
12064	1	1	2	1
12065	3	4	1	2
12066	1	1	2	1
12067	1	1	1	2
12071	3	2	1	2
12072	3	4	1	2
12073	1	1	1	2
12075	2	2	2	1
12077	1	1	1	2
12078	1	1	2	1
12092	1	1	1	3
12098	3	4	1	2
12102	3	1	1	2
12104	1	1	1	2
12105	3	1	2	1
12108	3	4	2	1
12109	2	2	1	2
12111	3	1	1	2
12115	1	1	1	2
12120	1	1	2	1
12121	1	1	1	2
12122	2	2	2	1
12124	2	2	1	2
12125	3	2	1	2
12130	2	2	1	2
12131	1	1	2	1
12148	2	2	1	3
12151	2	2	1	2
12154	1	1	1	2
12159	3	2	1	2
12162	2	2	1	3
12165	3	1	1	2
12171	3	1	2	1
12172	2	2	2	1
12175	2	2	1	2
12177	1	1	1	2
12178	2	2	1	2
12181	3	1	1	3
12182	3	1	3	1
12185	3	1	1	2
12188	2	2	1	2
12194	3	1	1	2
12196	2	2	1	2
12197	3	4	2	1
12200	3	1	3	1
12201	3	5	1	2
12202	2	2	1	3
12203	2	2	3	1
12213	2	2	1	2
12214	2	2	1	3
12216	2	2	1	2
12217	1	1	2	1
12218	1	1	2	1
12219	2	2	1	2
12227	2	2	1	2
12228	2	2	1	2
12229	3	4	1	2
12232	2	2	1	2
12233	2	2	1	2
12235	2	2	1	2
12246	2	2	2	1
12249	1	1	1	2
12250	2	2	2	1
12251	3	2	1	2
12254	1	1	1	2
12258	3	1	2	1
12259	1	1	2	1
12262	3	1	1	2
12266	1	1	2	1
12273	1	1	1	2
12277	1	1	1	2
12278	1	1	2	1
12279	3	1	1	2
12281	1	1	2	1
12283	2	2	1	2
12285	2	2	1	2
12287	3	1	3	1
12289	3	2	1	3
12290	2	2	1	3
12293	3	4	1	3
12294	3	1	1	2
12296	3	2	1	3
12301	2	2	1	3
12304	1	1	2	1
12305	1	1	1	2
12307	1	1	2	1
12309	1	1	1	2
12313	1	1	1	2
12316	3	2	1	3
12317	2	2	1	2
12318	3	1	1	3
12326	3	1	1	2
12329	1	1	2	1
12341	2	2	1	2
12343	3	1	1	2
12344	2	2	1	2
12345	1	1	1	2
12353	3	1	1	2
12354	3	2	1	2
12358	3	2	1	3
12360	3	2	1	2
12361	2	2	2	1
12366	1	1	2	1
12367	3	2	1	2
12368	3	2	2	1
12371	3	1	1	3
12372	2	2	1	3
12376	3	4	1	2
12378	1	1	1	2
12379	2	2	2	1
12390	1	1	1	3
12391	1	1	2	1
12394	1	1	1	2
12400	1	1	1	2
12401	2	2	1	2
12402	3	1	2	1
12414	2	2	1	2
12418	3	4	1	2
12425	3	5	1	2
12432	2	2	1	2
12434	3	2	1	2
12439	3	2	1	2
12443	2	2	1	2
12447	3	5	1	2
12453	2	2	1	2
12456	1	1	1	2
12457	3	1	1	3
12458	3	4	2	1
12464	3	2	1	2
12466	3	1	1	2
12467	3	1	2	1
12470	3	1	1	2
12473	3	1	1	2
12481	2	2	1	2
12482	2	2	1	3
12485	2	2	1	2
12488	1	1	1	3
12492	3	2	1	2
12495	3	1	1	2
12496	3	1	1	2
12498	2	2	1	3
12499	3	1	1	2
12500	3	4	1	2
12501	1	1	2	1
12503	2	2	1	2
12504	2	2	1	2
12515	2	2	1	2
12521	3	1	2	1
12526	2	2	2	1
12534	3	2	2	1
12536	2	2	1	2
12541	2	2	1	2
12542	3	1	1	2
12546	1	1	1	3
12549	2	2	1	2
12555	3	1	1	3
12559	2	2	3	1
12566	1	1	2	1
12567	1	1	2	1
12569	1	1	2	1
12570	1	1	2	1
12573	2	2	1	2
12575	3	1	1	2
12578	3	1	2	1
12579	1	1	2	1
12581	2	2	1	2
12582	3	1	1	2
12584	3	5	1	2
12588	1	1	1	2
12589	3	2	1	2
12592	2	2	2	1
12598	2	2	1	2
12600	2	2	1	2
12611	3	2	1	2
12616	3	4	1	2
12619	1	1	1	2
12620	2	2	1	2
12626	2	2	2	1
12638	2	2	2	1
12639	3	4	1	2
12641	3	4	2	1
12644	3	1	1	2
12648	2	2	2	1
12649	3	1	1	2
12650	3	1	1	2
12652	1	1	1	2
12653	3	4	1	2
12660	3	1	1	2
12662	3	1	1	2
12663	3	1	1	2
12664	1	1	1	2
12665	3	4	1	2
12667	3	2	1	2
12675	3	1	1	2
12676	3	2	1	2
12690	3	2	1	2
12691	3	1	1	2
12695	2	2	1	2
12703	2	2	1	3
12705	3	4	1	2
12711	3	1	1	3
12714	3	1	1	2
12722	3	1	1	2
12723	3	5	1	2
12724	2	2	2	1
12728	3	1	1	2
12729	3	2	1	2
12735	3	1	1	3
12737	2	2	1	3
12739	3	1	1	2
12749	2	2	1	2
12751	2	2	1	2
12753	3	1	2	1
12763	2	2	2	1
12767	1	1	1	2
12772	2	2	1	2
12773	2	2	1	2
12775	3	1	2	1
12776	3	2	1	2
12777	3	1	1	2
12778	3	4	2	1
12780	3	2	1	2
12782	3	1	1	2
12785	3	4	1	2
12792	3	2	2	1
12797	1	1	1	2
12804	3	2	1	3
12805	3	5	1	3
12807	1	1	2	1
12808	3	2	2	1
12809	2	2	2	1
12810	3	4	1	2
12811	1	1	2	1
12814	3	4	1	2
12815	1	1	1	2
12820	2	2	1	2
12822	3	1	1	3
12823	3	1	1	2
12826	3	1	1	2
12827	2	2	1	2
12829	1	1	1	2
12830	1	1	1	2
12832	1	1	2	1
12833	2	2	1	2
12838	1	1	1	2
12840	2	2	1	2
12844	1	1	2	1
12845	1	1	1	2
12851	2	2	1	2
12854	3	1	2	1
12855	3	1	1	2
12856	2	2	1	2
12857	3	2	1	2
12866	2	2	1	2
12882	1	1	1	2
12887	3	4	1	2
12888	2	2	3	1
12894	3	1	1	2
12896	1	1	2	1
12900	3	1	1	2
12902	2	2	2	1
12903	1	1	2	1
12911	2	2	1	2
12912	1	1	2	1
12918	3	4	1	2
12921	3	4	1	2
12922	1	1	1	2
12924	3	1	1	2
12930	2	2	1	2
12939	3	2	2	1
12942	2	2	1	2
12943	2	2	1	2
12944	1	1	2	1
12946	1	1	1	2
12947	2	2	1	2
12950	3	5	1	2
12951	3	5	1	2
12952	3	2	2	1
12953	3	1	1	2
12954	3	5	1	2
12957	3	1	2	1
12958	3	1	1	2
12960	2	2	1	2
12962	3	2	1	2
12963	3	5	1	2
12965	1	1	1	2
12966	2	2	1	2
12969	3	1	1	2
12972	3	5	1	2
12976	1	1	2	1
12978	2	2	1	2
12979	3	4	1	2
12981	3	1	1	2
12989	1	1	1	2
12993	3	5	2	1
12998	1	1	2	1
13000	2	2	1	3
13002	2	2	1	2
13009	2	2	1	2
13010	3	4	1	2
13012	2	2	1	2
13016	2	2	1	2
13018	2	2	2	1
13026	3	2	1	2
13027	3	1	1	2
13028	1	1	1	2
13029	3	1	1	2
13030	3	1	1	2
13034	2	2	1	2
13037	3	1	2	1
13038	1	1	1	2
13043	3	1	1	2
13044	3	1	1	2
13047	3	1	1	2
13048	2	2	1	2
13051	3	2	1	2
13056	3	1	1	2
13059	1	1	2	1
13061	2	2	1	2
13062	2	2	1	2
13064	3	1	1	2
13067	3	1	2	1
13071	3	2	1	2
13073	3	2	2	1
13074	1	1	1	2
13079	2	2	1	2
13082	2	2	1	2
13084	2	2	2	1
13087	1	1	2	1
13088	3	1	1	2
13089	1	1	1	2
13091	2	2	2	1
13092	3	1	2	1
13093	1	1	2	1
13094	2	2	1	2
13097	3	2	1	2
13098	2	2	2	1
13105	3	2	1	2
13110	2	2	1	2
13113	3	2	1	2
13114	2	2	2	1
13116	3	1	2	1
13119	2	2	1	2
13121	3	1	1	2
13123	3	1	1	2
13128	2	2	1	2
13132	2	2	1	2
13137	1	1	2	1
13140	2	2	1	2
13145	3	2	1	2
13149	3	5	1	2
13157	3	1	1	2
13160	1	1	1	2
13162	2	2	1	2
13163	2	2	2	1
13176	3	1	1	2
13181	3	1	1	3
13182	2	2	3	1
13187	2	2	1	3
13188	1	1	1	2
13191	1	1	1	2
13197	2	2	2	1
13198	1	1	1	2
13203	2	2	1	2
13206	3	2	1	2
13210	2	2	1	2
13211	2	2	2	1
13220	2	2	1	2
13223	3	1	1	2
13227	1	1	1	2
13232	1	1	1	2
13237	1	1	1	3
13240	3	1	2	1
13246	2	2	1	2
13248	2	2	1	2
13250	1	1	1	2
13251	1	1	1	2
13252	3	2	1	2
13259	3	1	1	2
13260	2	2	1	2
13266	3	1	1	2
13268	3	2	2	1
13284	2	2	1	2
13286	3	1	1	2
13288	3	4	1	3
13293	3	2	1	3
13298	1	1	1	2
13299	2	2	2	1
13300	1	1	1	2
13302	2	2	1	2
13303	3	1	1	2
13308	2	2	1	2
13315	2	2	2	1
13318	3	4	1	2
13319	2	2	1	2
13322	2	2	1	2
13323	1	1	2	1
13325	1	1	1	2
13328	3	4	2	1
13329	2	2	2	1
13330	3	1	2	1
13332	2	2	1	2
13333	2	2	1	2
13335	2	2	1	2
13340	1	1	1	2
13343	3	2	1	2
13346	1	1	2	1
13349	1	1	1	2
13350	1	1	2	1
13356	2	2	1	2
13358	2	2	2	1
13364	2	2	1	2
13366	3	2	1	2
13367	3	1	1	2
13368	1	1	1	2
13369	3	1	1	2
13371	1	1	1	2
13372	1	1	2	1
13373	3	2	2	1
13376	2	2	1	2
13380	3	1	1	3
13383	2	2	3	2
13384	1	1	1	2
13385	3	4	1	3
13389	1	1	1	2
13393	1	1	1	2
13399	1	1	1	2
13400	3	4	2	1
13401	2	2	2	1
13402	2	2	1	2
13403	2	2	1	2
13404	2	2	2	1
13408	1	1	2	1
13413	2	2	1	2
13415	3	1	1	2
13416	2	2	1	2
13418	2	2	1	2
13421	2	2	1	2
13422	2	2	1	2
13425	3	1	2	1
13426	1	1	2	1
13427	1	1	2	1
13428	1	1	1	2
13431	3	5	1	2
13433	1	1	1	2
13446	3	1	1	2
13447	3	5	1	2
13456	2	2	1	3
13461	2	2	1	2
13463	1	1	1	2
13466	3	1	2	1
13469	1	1	2	1
13470	3	1	2	1
13471	1	1	1	2
13474	2	2	1	2
13479	3	1	1	3
13480	3	1	1	2
13483	3	2	1	2
13485	2	2	1	3
13490	2	2	1	2
13492	3	1	1	2
13493	2	2	1	2
13496	1	1	1	2
13497	3	1	2	1
13504	3	5	2	1
13511	2	2	1	2
13512	2	2	1	2
13513	3	1	1	2
13518	1	1	2	1
13523	3	2	1	2
13526	1	1	1	2
13529	3	2	1	2
13533	3	1	1	2
13538	3	1	1	2
13550	3	4	2	1
13553	3	2	1	2
13555	3	5	1	2
13557	3	4	2	1
13564	3	2	1	2
13572	1	1	2	1
13582	2	2	1	2
13583	2	2	1	2
13589	2	2	2	1
13590	2	2	1	2
13591	2	2	2	1
13595	1	1	2	1
13598	3	2	1	2
13601	3	1	1	2
13606	1	1	1	3
13612	2	2	1	2
13614	3	2	1	2
13616	1	1	1	2
13619	2	2	2	3
13623	2	2	1	2
13626	3	2	2	1
13630	3	1	2	1
13632	3	2	1	2
13636	2	2	1	2
13639	1	1	1	2
13641	3	2	2	1
13648	3	2	1	2
13649	3	1	1	2
13656	3	1	1	2
13657	3	5	1	2
13663	2	2	1	2
13672	3	1	2	1
13674	3	1	1	3
13676	2	2	1	2
13678	3	2	1	2
13684	2	2	1	2
13689	3	5	1	2
13696	2	2	1	3
13697	1	1	1	2
13698	1	1	2	1
13699	1	1	1	2
13703	2	2	1	2
13704	2	2	1	2
13705	1	1	2	1
13708	2	2	1	2
13709	2	2	1	2
13717	2	2	1	2
13719	1	1	2	1
13728	1	1	1	2
13729	1	1	1	2
13734	2	2	1	2
13737	3	2	1	2
13740	3	2	1	2
13742	3	1	2	1
13743	3	1	2	1
13748	3	1	1	2
13749	1	1	1	2
13754	3	1	1	2
13755	2	2	1	2
13756	3	2	2	1
13757	2	2	1	2
13758	3	1	1	2
13759	3	4	1	2
13760	3	1	2	1
13762	2	2	1	2
13765	3	4	2	1
13767	2	2	1	2
13770	3	2	1	2
13771	1	1	2	1
13772	2	2	2	1
13776	3	1	1	2
13778	3	2	1	2
13781	1	1	1	2
13783	2	2	1	2
13784	1	1	1	2
13785	1	1	2	1
13788	2	2	1	3
13790	1	1	1	2
13794	3	2	1	2
13797	3	1	1	2
13799	1	1	1	2
13801	1	1	1	2
13802	3	1	1	2
13804	3	2	2	1
13807	2	2	1	2
13813	3	1	1	3
13817	1	1	2	1
13821	1	1	1	2
13822	3	1	1	2
13825	3	1	1	2
13828	3	5	1	3
13837	1	1	1	2
13839	3	2	2	1
13846	1	1	1	2
13847	3	2	2	1
13848	3	1	1	2
13850	3	2	1	2
13851	2	2	1	2
13852	2	2	1	2
13858	1	1	1	2
13859	1	1	1	2
13862	2	2	1	3
13863	2	2	1	2
13864	3	1	1	2
13866	3	2	1	2
13868	3	2	1	2
13872	2	2	1	2
13874	2	2	1	2
13876	3	1	1	2
13877	3	1	2	1
13881	1	1	2	1
13883	3	4	2	1
13884	2	2	1	2
13885	1	1	1	2
13888	3	1	3	1
13889	1	1	2	1
13890	2	2	1	2
13891	3	1	1	3
13893	3	5	1	2
13894	1	1	1	2
13896	2	2	1	2
13901	1	1	2	1
13909	1	1	1	2
13912	1	1	1	2
13918	1	1	1	2
13923	3	2	1	2
13925	3	2	1	2
13926	1	1	1	2
13927	2	2	1	2
13929	3	5	1	2
13930	2	2	1	2
13937	3	1	2	1
13939	1	1	1	2
13944	2	2	1	2
13946	2	2	2	1
13948	2	2	2	1
13950	3	5	1	2
13951	2	2	2	1
13953	1	1	1	2
13955	3	4	1	2
13959	3	1	2	1
13960	2	2	1	2
13961	2	2	1	2
13967	3	4	1	2
13968	3	2	1	2
13969	1	1	1	2
13970	2	2	1	2
13971	3	4	2	1
13972	3	1	1	2
13976	3	1	1	2
13984	1	1	1	2
13987	2	2	1	2
13990	2	2	1	2
13995	2	2	2	1
14004	3	1	1	2
14005	3	1	1	2
14006	3	1	1	2
14011	2	2	1	2
14015	3	4	2	1
14016	1	1	1	2
14024	2	2	2	1
14027	2	2	1	2
14030	2	2	1	3
14034	2	2	1	2
14040	1	1	3	1
14047	3	1	2	1
14049	3	5	1	2
14050	2	2	1	3
14054	3	2	1	2
14056	1	1	1	2
14057	2	2	2	1
14058	2	2	1	2
14059	3	2	1	2
14062	3	1	1	2
14063	3	1	2	1
14067	3	4	1	2
14069	3	4	2	1
14073	3	1	1	2
14075	2	2	1	3
14082	2	2	1	2
14084	1	1	1	2
14085	1	1	2	1
14086	1	1	2	1
14087	3	4	1	2
14090	1	1	1	2
14093	1	1	2	1
14094	1	1	2	1
14095	1	1	2	1
14096	1	1	2	1
14100	3	1	1	2
14102	1	1	1	2
14108	1	1	1	2
14114	2	2	1	3
14116	2	2	1	2
14122	2	2	1	2
14124	3	1	2	1
14127	3	2	2	1
14129	2	2	1	2
14130	1	1	2	1
14131	1	1	1	2
14133	1	1	1	3
14137	1	1	1	3
14138	2	2	1	3
14139	1	1	2	1
14146	3	1	1	2
14156	1	1	1	2
14161	2	2	1	2
14162	3	2	1	2
14167	3	2	1	2
14171	3	2	1	2
14175	3	2	1	2
14176	2	2	1	2
14179	2	2	1	2
14183	1	1	1	2
14184	2	2	1	2
14195	1	1	1	2
14202	3	1	1	3
14206	3	1	1	2
14207	3	4	2	1
14209	3	1	2	1
14211	2	2	1	2
14216	1	1	1	2
14222	3	1	1	2
14223	1	1	1	2
14226	2	2	2	1
14227	1	1	1	2
14228	2	2	1	2
14233	3	2	1	2
14235	2	2	1	2
14236	1	1	2	1
14237	2	2	1	2
14242	3	2	1	2
14245	3	1	1	2
14246	1	1	1	2
14249	3	1	1	2
14251	3	1	1	3
14253	1	1	1	3
14254	2	2	1	2
14255	1	1	1	2
14256	1	1	2	1
14260	2	2	1	2
14267	1	1	1	2
14270	3	1	1	2
14274	2	2	1	2
14279	1	1	2	1
14282	3	1	1	2
14283	3	2	1	2
14284	3	1	1	2
14285	2	2	1	2
14289	3	2	2	3
14294	2	2	1	2
14295	2	2	1	2
14296	2	2	1	2
14297	1	1	1	2
14299	2	2	1	2
14300	1	1	1	2
14303	1	1	2	1
14307	3	1	1	2
14316	2	2	1	2
14322	1	1	1	2
14325	2	2	1	2
14326	2	2	1	2
14327	2	2	1	2
14329	1	1	2	1
14333	3	1	1	2
14334	3	4	2	1
14335	3	5	2	1
14339	3	1	1	2
14343	1	1	1	3
14347	3	4	1	2
14349	3	2	1	3
14362	3	1	1	2
14366	3	1	1	2
14367	3	1	1	3
14374	2	2	2	1
14375	1	1	1	2
14376	3	4	1	2
14377	2	2	2	1
14378	3	4	1	2
14382	2	2	1	2
14392	3	4	1	2
14404	3	1	1	2
14407	1	1	2	1
14410	2	2	1	2
14415	1	1	2	1
14416	1	1	1	2
14418	1	1	2	1
14419	1	1	1	2
14420	1	1	2	1
14422	3	2	1	2
14423	2	2	1	2
14424	2	2	1	2
14430	3	1	2	1
14433	3	5	1	2
14434	3	5	2	1
