Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
935	3	1	1	2
942	3	4	1	3
943	1	1	1	3
944	1	1	1	2
945	1	1	1	2
946	1	1	1	3
947	2	2	1	2
952	1	1	2	1
956	3	5	2	1
959	2	2	1	2
961	3	2	2	1
962	2	2	2	1
966	2	2	1	2
968	3	2	3	1
971	3	1	1	2
973	3	4	1	3
975	3	4	1	3
976	3	2	1	3
978	3	2	1	2
979	2	2	1	2
980	1	1	2	1
983	1	1	1	2
984	3	5	1	2
990	3	2	1	3
994	3	4	1	2
1000	1	1	1	3
1003	2	2	1	2
1011	1	1	1	2
1014	3	5	1	2
1015	2	2	1	2
1021	1	1	2	1
1024	1	1	1	2
1025	3	4	2	1
1027	3	1	3	1
1028	3	2	2	1
1029	2	2	1	2
1031	3	1	2	1
1033	2	2	1	2
1034	3	4	1	2
1036	2	2	1	2
1038	3	2	1	2
1039	3	2	2	1
1045	2	2	1	3
1046	3	5	3	2
1047	3	1	2	3
1052	1	1	1	3
1053	3	2	2	3
1054	3	2	1	2
1055	3	2	2	1
1057	2	2	3	1
1058	1	1	1	2
1059	3	1	1	2
1061	2	2	1	2
1063	1	1	1	2
1076	1	1	2	1
1078	2	2	1	2
1089	2	2	2	1
1090	3	1	1	2
1098	2	2	2	1
1100	2	2	3	2
1103	1	1	2	1
1106	1	1	1	2
1107	1	1	3	1
1112	1	1	1	2
1115	1	1	1	2
1117	2	2	2	1
1119	2	2	2	1
1122	3	1	1	2
1123	3	1	1	2
1125	2	2	2	1
1127	2	2	1	2
1128	1	1	1	2
1130	3	5	1	2
1131	3	4	2	1
1132	3	5	1	2
1133	2	2	1	2
1135	2	2	1	2
1139	3	2	3	1
1140	2	2	1	2
1144	2	2	3	1
1146	2	2	1	2
1147	1	1	1	2
1148	3	1	2	1
1153	2	2	1	2
1154	3	4	1	2
1160	1	1	1	3
1161	3	1	1	2
1162	3	1	1	3
1164	1	1	2	1
1165	2	2	1	2
1168	3	2	1	2
1172	3	5	2	1
1177	3	5	1	3
1184	3	2	1	2
1191	3	1	3	1
1192	2	2	3	1
1193	1	1	2	1
1194	3	1	2	1
1195	3	1	2	1
1196	2	2	1	2
1197	1	1	2	1
1199	3	1	2	1
1201	1	1	2	1
1202	2	2	2	1
1203	1	1	2	1
1207	3	2	2	1
1208	3	2	1	2
1210	2	2	1	2
1228	1	1	1	2
1231	2	2	1	2
1234	2	2	2	1
1239	2	2	2	1
1241	3	1	2	3
1243	3	2	1	3
1245	3	1	1	2
1246	3	1	2	1
1247	1	1	1	2
1248	1	1	2	1
1249	2	2	1	2
1251	2	2	1	2
1252	3	1	1	2
1253	2	2	2	1
1254	2	2	1	2
1255	2	2	2	1
1262	2	2	1	2
1265	1	1	2	1
1266	3	1	1	2
1269	1	1	1	2
1270	3	2	2	1
1272	3	2	1	2
1274	1	1	1	3
1275	3	2	1	2
1277	3	2	1	2
1280	3	2	2	3
1287	3	1	1	2
1288	3	2	1	3
1290	2	2	2	1
1292	2	2	1	3
1300	3	1	1	3
1301	3	1	2	3
1310	2	2	1	3
1313	2	2	1	2
1315	2	2	1	2
1316	2	2	1	2
1318	2	2	2	1
1320	1	1	1	2
1322	1	1	1	2
1323	1	1	1	2
1326	2	2	1	2
1327	3	2	1	2
1330	2	2	2	1
1331	1	1	2	1
1332	1	1	1	3
1333	1	1	2	1
1338	1	1	2	1
1340	2	2	1	3
1342	3	1	3	1
1343	1	1	3	1
1344	1	1	1	2
1346	3	2	1	2
1352	2	2	1	3
1356	1	1	1	2
1362	1	1	2	1
1363	3	2	1	2
1365	1	1	1	2
1366	1	1	2	1
1374	3	2	1	2
1384	1	1	1	2
1385	1	1	1	2
1387	1	1	3	1
1388	3	4	1	3
1390	2	2	3	2
1391	3	1	1	2
1392	1	1	1	2
1396	3	2	1	3
1397	3	1	1	2
1398	1	1	1	2
1400	3	1	1	2
1406	3	2	1	2
1407	1	1	1	2
1408	2	2	1	2
1409	3	2	1	2
1411	3	4	2	1
1416	2	2	1	2
1417	3	1	2	1
1424	3	2	1	2
1425	3	1	1	2
1430	1	1	2	1
1433	1	1	1	3
1434	1	1	1	2
1436	2	2	1	2
1437	3	4	1	2
1438	3	1	1	3
1441	2	2	2	1
1447	3	5	2	1
1451	1	1	1	2
1453	3	1	1	2
1461	1	1	2	1
1462	2	2	1	2
1463	2	2	1	2
1464	1	1	2	1
1466	3	1	2	1
1467	1	1	2	1
1470	3	5	3	1
1473	1	1	1	2
1479	3	5	3	2
1480	1	1	2	3
1482	1	1	2	1
1484	3	1	1	2
1485	1	1	1	2
1488	3	1	3	1
1489	2	2	2	1
1495	1	1	2	1
1496	1	1	2	1
1497	2	2	2	1
1498	2	2	1	2
1500	3	5	1	2
1505	2	2	2	1
1506	1	1	1	2
1509	3	2	1	3
1510	3	1	1	2
1512	2	2	2	1
1513	2	2	1	2
1514	2	2	2	1
1515	1	1	2	1
1516	3	1	1	2
1517	2	2	1	2
1518	1	1	1	2
1519	3	2	1	2
1520	2	2	2	1
1521	3	4	1	2
1524	3	1	1	2
1526	2	2	1	2
1532	1	1	2	1
1533	1	1	1	2
1534	2	2	1	2
1537	2	2	2	1
1538	2	2	1	2
1545	2	2	1	2
1546	2	2	1	2
1547	2	2	1	2
1549	3	1	1	3
1551	2	2	1	2
1552	2	2	1	2
1553	3	1	1	2
1560	3	2	1	2
1561	3	1	1	2
1562	2	2	1	3
1565	3	1	1	2
1566	1	1	1	3
1567	3	1	1	3
1569	3	1	1	2
1572	3	1	2	1
1574	3	1	1	2
1580	3	2	1	2
1582	1	1	1	2
